test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,740740.690000,150649.380000,0.612000,0.132000,0.024000,0.008000,0.367000,0.048000,1.655000,0.760000,4.823000,1.176000,14.711000,2.152000
PING_MBULK,740740.690000,92165.930000,0.628000,0.093000,0.024000,0.008000,0.351000,0.040000,1.719000,0.520000,4.847000,1.680000,18.751000,7.392000
SET,342465.750000,80063.030000,1.447000,0.304000,0.032000,0.000000,0.879000,0.200000,4.631000,0.936000,7.991000,2.136000,13.743000,7.176000
GET,574712.690000,57269.870000,0.851000,0.110000,0.032000,0.008000,0.479000,0.032000,2.271000,0.520000,8.951000,3.568000,21.135000,6.768000
INCR,337837.840000,16206.150000,1.467000,0.064000,0.032000,0.000000,0.911000,0.088000,4.775000,0.440000,7.623000,0.424000,15.663000,2.008000
LPUSH,310559.000000,12350.600000,1.594000,0.057000,0.024000,0.000000,1.295000,0.128000,3.935000,0.056000,7.279000,1.904000,13.743000,6.816000
RPUSH,274725.280000,38754.340000,1.801000,0.221000,0.024000,0.000000,1.407000,0.192000,4.759000,0.720000,7.903000,4.568000,19.071000,6.008000
LPOP,327868.840000,4300.120000,1.514000,0.028000,0.024000,0.000000,1.279000,0.040000,3.815000,0.368000,5.983000,1.048000,13.087000,3.568000
RPOP,318471.310000,14610.780000,1.557000,0.066000,0.024000,0.000000,1.303000,0.032000,4.055000,0.672000,6.551000,1.456000,11.511000,8.232000
SADD,258397.940000,34529.900000,1.919000,0.238000,0.024000,0.008000,1.583000,0.256000,5.039000,0.688000,7.503000,1.728000,13.743000,4.224000
HSET,278551.530000,27440.430000,1.776000,0.196000,0.032000,0.000000,1.519000,0.096000,4.239000,0.984000,7.383000,1.712000,21.519000,8.992000
SPOP,294985.250000,4415.970000,1.676000,0.023000,0.016000,0.008000,1.319000,0.024000,4.791000,0.392000,6.711000,1.120000,9.951000,3.256000
LPUSH (needed to benchmark LRANGE),307692.310000,32974.940000,1.608000,0.186000,0.024000,0.000000,1.263000,0.232000,4.527000,0.296000,7.471000,0.696000,13.975000,8.200000
LRANGE_100 (first 100 elements),118906.060000,3991.480000,3.993000,0.214000,0.120000,0.008000,2.495000,0.360000,13.599000,1.608000,22.223000,0.704000,42.431000,15.264000
MSET (10 keys),107758.620000,6728.950000,4.622000,0.266000,0.128000,0.000000,3.847000,0.312000,11.431000,0.512000,15.983000,0.696000,29.647000,2.288000
