"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","740740.69","0.612","0.016","0.367","1.655","4.823","15.247"
"PING_MBULK","806451.62","0.543","0.016","0.319","1.399","4.023","17.343"
"SET","321543.41","1.539","0.032","0.967","4.911","8.303","17.359"
"GET","609756.06","0.777","0.032","0.479","2.239","5.423","18.927"
"INCR","332225.91","1.487","0.032","0.911","4.815","7.511","16.239"
"LPUSH","302114.81","1.632","0.024","1.407","3.935","5.423","8.903"
"RPUSH","274725.28","1.801","0.024","1.407","4.999","7.903","19.071"
"LPOP","325732.88","1.523","0.024","1.255","4.079","6.863","13.695"
"RPOP","318471.31","1.557","0.024","1.319","3.863","5.615","11.511"
"SADD","283286.12","1.743","0.024","1.439","4.471","7.087","13.743"
"HSET","251889.16","1.968","0.032","1.607","5.063","8.527","21.519"
"SPOP","294985.25","1.677","0.016","1.319","4.791","6.615","12.991"
"LPUSH (needed to benchmark LRANGE)","278551.53","1.782","0.024","1.479","4.527","7.039","18.815"
"LRANGE_100 (first 100 elements)","115340.26","4.181","0.120","2.559","13.599","22.191","41.023"
"MSET (10 keys)","107758.62","4.622","0.128","3.847","11.463","16.511","30.479"
