"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","89928.05","0.394","0.008","0.263","1.039","3.007","13.791"
"PING_MBULK","91491.30","0.371","0.008","0.271","0.887","2.255","12.391"
"SET","93896.71","0.372","0.016","0.263","0.927","2.119","16.303"
"GET","92165.90","0.380","0.016","0.263","0.959","2.519","18.847"
"INCR","92678.41","0.390","0.016","0.263","1.031","2.231","21.119"
"LPUSH","95238.10","0.382","0.008","0.255","0.999","2.367","28.799"
"RPUSH","96711.80","0.364","0.008","0.255","0.911","2.383","17.071"
"LPOP","93808.63","0.375","0.008","0.263","0.959","2.183","12.863"
"RPOP","94966.77","0.368","0.016","0.255","0.943","2.295","15.295"
"SADD","92421.44","0.375","0.016","0.271","0.911","2.087","11.063"
"HSET","88652.48","0.401","0.016","0.287","1.039","2.375","14.615"
"SPOP","91827.37","0.377","0.008","0.263","0.975","2.279","13.079"
"LPUSH (needed to benchmark LRANGE)","93196.65","0.374","0.008","0.263","0.927","2.471","15.903"
"LRANGE_100 (first 100 elements)","65359.48","0.573","0.016","0.367","1.583","3.415","20.719"
"MSET (10 keys)","82576.38","0.524","0.016","0.319","1.543","3.263","16.815"
