test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,89928.050000,16818.270000,0.394000,0.080000,0.008000,0.000000,0.263000,0.056000,1.039000,0.304000,2.687000,1.120000,13.791000,3.576000
PING_MBULK,91491.300000,7038.810000,0.371000,0.017000,0.008000,0.000000,0.271000,0.016000,0.887000,0.056000,2.183000,0.224000,12.527000,13.160000
SET,93896.710000,5647.720000,0.376000,0.014000,0.016000,0.008000,0.263000,0.024000,0.991000,0.080000,2.119000,0.152000,14.503000,4.856000
GET,92165.900000,6344.030000,0.375000,0.011000,0.008000,0.008000,0.263000,0.008000,0.951000,0.024000,2.503000,0.336000,15.863000,6.592000
INCR,92678.410000,6639.360000,0.390000,0.022000,0.016000,0.000000,0.263000,0.024000,1.023000,0.088000,2.231000,0.432000,16.879000,8.432000
LPUSH,95238.100000,5528.220000,0.371000,0.020000,0.008000,0.008000,0.255000,0.008000,0.951000,0.088000,2.351000,0.024000,18.255000,14.992000
RPUSH,96711.800000,9325.520000,0.376000,0.022000,0.008000,0.008000,0.255000,0.040000,0.927000,0.104000,2.311000,0.136000,17.071000,19.752000
LPOP,93808.630000,12732.160000,0.375000,0.027000,0.008000,0.000000,0.263000,0.048000,0.903000,0.056000,2.183000,0.336000,12.863000,1.392000
RPOP,94966.770000,7267.650000,0.368000,0.006000,0.016000,0.008000,0.255000,0.040000,0.943000,0.136000,2.151000,0.416000,15.295000,13.568000
SADD,92421.440000,4876.680000,0.369000,0.010000,0.016000,0.008000,0.271000,0.016000,0.903000,0.088000,1.967000,0.296000,11.063000,3.080000
HSET,93370.680000,8813.400000,0.372000,0.041000,0.016000,0.008000,0.263000,0.032000,0.951000,0.128000,2.095000,0.400000,14.615000,0.328000
SPOP,92506.940000,4978.050000,0.371000,0.011000,0.008000,0.008000,0.263000,0.016000,0.951000,0.056000,2.279000,0.456000,13.079000,17.848000
LPUSH (needed to benchmark LRANGE),93196.650000,6404.460000,0.374000,0.010000,0.008000,0.000000,0.263000,0.016000,0.927000,0.032000,2.471000,0.392000,11.959000,7.024000
LRANGE_100 (first 100 elements),64432.990000,1665.210000,0.592000,0.020000,0.016000,0.008000,0.375000,0.008000,1.583000,0.064000,3.655000,0.312000,25.215000,4.720000
MSET (10 keys),82576.380000,7539.130000,0.524000,0.052000,0.016000,0.000000,0.319000,0.016000,1.543000,0.256000,3.263000,0.616000,16.815000,4.272000
