test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,869565.190000,59523.740000,0.475000,0.063000,0.032000,0.008000,0.327000,0.016000,1.223000,0.184000,2.631000,0.944000,10.023000,4.808000
PING_MBULK,819672.120000,52934.560000,0.543000,0.110000,0.032000,0.008000,0.335000,0.032000,1.375000,0.200000,4.167000,3.072000,11.479000,11.464000
SET,621118.000000,23155.320000,0.789000,0.030000,0.040000,0.008000,0.351000,0.024000,3.223000,0.280000,6.975000,1.304000,13.159000,2.536000
GET,709219.880000,79575.620000,0.644000,0.047000,0.040000,0.000000,0.455000,0.072000,1.647000,0.120000,3.631000,2.264000,8.775000,1.784000
INCR,609756.060000,32882.690000,0.799000,0.042000,0.040000,0.000000,0.351000,0.016000,3.487000,0.456000,7.863000,1.392000,12.991000,2.136000
LPUSH,429184.560000,47185.680000,1.157000,0.140000,0.032000,0.000000,1.151000,0.088000,1.607000,0.072000,2.415000,0.584000,5.319000,6.928000
RPUSH,396825.380000,29375.370000,1.253000,0.099000,0.032000,0.008000,1.223000,0.056000,2.127000,0.592000,3.391000,1.248000,5.575000,3.616000
LPOP,411522.620000,27808.690000,1.201000,0.079000,0.032000,0.000000,1.167000,0.032000,1.767000,0.096000,2.663000,0.720000,4.463000,3.544000
RPOP,434782.590000,19078.120000,1.142000,0.046000,0.032000,0.000000,1.151000,0.024000,1.551000,0.104000,2.215000,0.264000,3.479000,0.584000
SADD,409836.060000,16265.680000,1.207000,0.047000,0.032000,0.008000,1.183000,0.040000,1.807000,0.296000,2.687000,0.344000,4.423000,3.296000
HSET,389105.060000,4559.970000,1.276000,0.016000,0.040000,0.000000,1.207000,0.024000,1.831000,0.328000,2.855000,0.624000,4.479000,4.088000
SPOP,409836.060000,10162.630000,1.210000,0.024000,0.024000,0.008000,1.199000,0.016000,1.855000,0.184000,3.503000,1.216000,7.103000,1.376000
LPUSH (needed to benchmark LRANGE),429184.560000,47185.680000,1.154000,0.142000,0.032000,0.008000,1.159000,0.096000,1.559000,0.192000,2.295000,0.264000,3.471000,0.608000
LRANGE_100 (first 100 elements),175131.360000,12309.140000,2.126000,0.298000,0.152000,0.048000,1.279000,0.128000,6.383000,1.256000,11.711000,2.568000,19.775000,2.032000
MSET (10 keys),216919.730000,3315.530000,2.294000,0.038000,0.112000,0.000000,1.887000,0.088000,5.423000,0.088000,7.663000,1.008000,14.503000,3.312000
