"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","833333.38","0.427","0.032","0.327","1.055","1.807","10.207"
"PING_MBULK","819672.12","0.458","0.032","0.335","1.207","2.055","5.415"
"SET","621118.00","0.789","0.040","0.359","3.231","6.719","13.159"
"GET","709219.88","0.660","0.040","0.495","1.647","3.631","10.263"
"INCR","621118.00","0.792","0.040","0.335","3.095","8.047","14.775"
"LPUSH","387596.91","1.276","0.032","1.231","1.607","2.935","10.607"
"RPUSH","396825.38","1.253","0.040","1.223","1.615","2.239","3.511"
"LPOP","431034.50","1.152","0.032","1.167","1.671","2.487","4.023"
"RPOP","446428.56","1.110","0.032","1.143","1.479","2.191","3.479"
"SADD","409836.06","1.207","0.040","1.183","1.807","2.687","4.423"
"HSET","389105.06","1.276","0.040","1.231","1.679","2.471","3.559"
"SPOP","416666.69","1.192","0.024","1.183","1.767","2.951","6.599"
"LPUSH (needed to benchmark LRANGE)","387596.91","1.280","0.032","1.255","1.711","2.367","3.823"
"LRANGE_100 (first 100 elements)","175131.36","2.126","0.152","1.279","6.383","10.783","21.039"
"MSET (10 keys)","219298.25","2.263","0.112","1.823","5.423","8.503","17.775"
