"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","108342.37","0.239","0.064","0.239","0.319","0.375","1.063"
"PING_MBULK","106496.27","0.244","0.032","0.239","0.311","0.367","2.023"
"SET","102564.10","0.256","0.016","0.247","0.327","0.399","4.455"
"GET","107296.14","0.245","0.024","0.239","0.311","0.463","2.559"
"INCR","109529.02","0.238","0.016","0.231","0.303","0.367","4.103"
"LPUSH","100502.52","0.260","0.016","0.255","0.335","0.399","4.431"
"RPUSH","106951.88","0.244","0.032","0.239","0.311","0.383","2.063"
"LPOP","111856.82","0.234","0.024","0.231","0.279","0.359","2.783"
"RPOP","107181.13","0.243","0.024","0.239","0.311","0.391","2.751"
"SADD","99502.48","0.262","0.024","0.263","0.335","0.391","2.031"
"HSET","108813.92","0.241","0.024","0.239","0.303","0.383","1.887"
"SPOP","106496.27","0.253","0.016","0.239","0.327","0.679","5.447"
"LPUSH (needed to benchmark LRANGE)","108813.92","0.239","0.032","0.231","0.311","0.383","1.583"
"LRANGE_100 (first 100 elements)","73746.31","0.368","0.032","0.335","0.471","1.143","10.447"
"MSET (10 keys)","108108.11","0.256","0.016","0.239","0.343","0.671","7.319"
