test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,108342.370000,4869.000000,0.239000,0.009000,0.024000,0.040000,0.239000,0.008000,0.319000,0.016000,0.391000,0.016000,2.199000,2.656000
PING_MBULK,109170.300000,5110.870000,0.238000,0.012000,0.032000,0.008000,0.231000,0.008000,0.303000,0.008000,0.367000,0.016000,2.023000,1.056000
SET,110497.240000,10686.180000,0.239000,0.026000,0.016000,0.008000,0.231000,0.016000,0.295000,0.056000,0.399000,0.072000,4.175000,3.024000
GET,110132.160000,5443.430000,0.237000,0.013000,0.024000,0.008000,0.231000,0.008000,0.303000,0.040000,0.367000,0.104000,2.559000,1.008000
INCR,108108.110000,9529.020000,0.243000,0.027000,0.016000,0.000000,0.239000,0.016000,0.311000,0.056000,0.391000,0.136000,4.103000,1.504000
LPUSH,111358.580000,16183.600000,0.237000,0.036000,0.016000,0.016000,0.231000,0.032000,0.279000,0.072000,0.383000,0.056000,4.407000,3.032000
RPUSH,105485.230000,9390.900000,0.249000,0.025000,0.032000,0.016000,0.239000,0.032000,0.319000,0.024000,0.407000,0.024000,3.839000,3.656000
LPOP,103412.620000,9187.410000,0.253000,0.019000,0.024000,0.016000,0.239000,0.008000,0.335000,0.064000,0.383000,0.072000,3.271000,1.024000
RPOP,107874.870000,4550.710000,0.242000,0.007000,0.024000,0.008000,0.239000,0.016000,0.311000,0.008000,0.391000,0.000000,2.751000,2.256000
SADD,107758.620000,10146.640000,0.244000,0.023000,0.016000,0.008000,0.239000,0.032000,0.319000,0.024000,0.399000,0.016000,2.327000,0.584000
HSET,109051.260000,1197.080000,0.241000,0.003000,0.024000,0.008000,0.239000,0.008000,0.311000,0.008000,0.383000,0.032000,1.887000,2.016000
SPOP,106496.270000,7637.430000,0.253000,0.016000,0.016000,0.008000,0.239000,0.024000,0.327000,0.008000,0.447000,0.264000,4.247000,3.296000
LPUSH (needed to benchmark LRANGE),108813.920000,7334.140000,0.239000,0.020000,0.024000,0.008000,0.231000,0.008000,0.311000,0.024000,0.383000,0.104000,3.167000,2.672000
LRANGE_100 (first 100 elements),73909.830000,658.460000,0.368000,0.004000,0.032000,0.000000,0.335000,0.000000,0.471000,0.016000,1.143000,0.416000,9.079000,5.096000
MSET (10 keys),108108.110000,2656.800000,0.263000,0.025000,0.016000,0.000000,0.239000,0.008000,0.383000,0.160000,0.879000,0.392000,8.807000,2.488000
