"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","999999.94","0.431","0.080","0.423","0.767","0.863","0.871"
"PING_MBULK","200000.00","1.630","0.056","0.807","3.903","4.023","4.047"
"SET","333333.34","1.020","0.072","0.927","1.943","2.095","2.183"
"GET","166666.67","2.072","0.064","0.551","5.311","5.551","5.607"
"INCR","142857.14","1.741","0.112","1.647","3.383","6.223","6.383"
"LPUSH","333333.34","1.195","0.056","1.239","2.239","2.519","2.583"
"RPUSH","249999.98","1.371","0.040","1.063","3.215","3.335","3.479"
"LPOP","249999.98","1.169","0.072","1.119","2.279","2.415","2.527"
"RPOP","249999.98","1.710","0.040","1.599","3.351","3.447","3.535"
"SADD","76923.08","2.882","0.056","3.111","4.143","4.575","8.951"
"HSET","166666.67","2.018","0.040","2.015","3.775","3.887","3.967"
"SPOP","249999.98","1.619","0.056","1.815","2.535","2.679","2.775"
"LPUSH (needed to benchmark LRANGE)","166666.67","2.308","0.048","1.423","5.575","5.735","5.783"
"LRANGE_100 (first 100 elements)","142857.14","2.127","0.432","1.551","6.143","6.615","6.839"
"MSET (10 keys)","90909.09","5.039","0.384","5.007","10.039","10.775","10.783"
