"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","76923.08","0.399","0.072","0.335","0.959","1.207","1.511"
"PING_MBULK","83333.34","0.385","0.032","0.319","0.727","2.343","3.615"
"SET","100000.00","0.329","0.024","0.279","0.743","1.239","1.839"
"GET","100000.00","0.368","0.024","0.271","0.911","2.535","2.791"
"INCR","83333.34","0.420","0.024","0.319","0.959","1.503","3.391"
"LPUSH","76923.08","0.388","0.072","0.343","0.695","0.983","1.959"
"RPUSH","76923.08","0.358","0.024","0.279","1.047","1.391","2.999"
"LPOP","90909.09","0.409","0.016","0.263","1.015","3.743","4.271"
"RPOP","90909.09","0.408","0.016","0.271","0.943","3.655","3.983"
"SADD","100000.00","0.321","0.016","0.271","0.743","0.967","2.799"
"HSET","83333.34","0.332","0.056","0.271","0.759","1.311","1.559"
"SPOP","83333.34","0.451","0.024","0.311","1.255","2.327","2.455"
"LPUSH (needed to benchmark LRANGE)","90909.09","0.292","0.088","0.271","0.463","0.623","0.807"
"LRANGE_100 (first 100 elements)","62500.00","0.627","0.032","0.367","1.951","4.751","8.103"
"MSET (10 keys)","90909.09","0.469","0.016","0.327","1.367","2.111","3.535"
