test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,76923.080000,0.000000,0.399000,0.000000,0.072000,0.000000,0.335000,0.000000,0.959000,0.000000,1.207000,0.000000,1.511000,0.000000
PING_MBULK,83333.340000,0.000000,0.385000,0.000000,0.032000,0.000000,0.319000,0.000000,0.727000,0.000000,2.343000,0.000000,3.615000,0.000000
SET,100000.000000,0.000000,0.329000,0.000000,0.024000,0.000000,0.279000,0.000000,0.743000,0.000000,1.239000,0.000000,1.839000,0.000000
GET,100000.000000,0.000000,0.368000,0.000000,0.024000,0.000000,0.271000,0.000000,0.911000,0.000000,2.535000,0.000000,2.791000,0.000000
INCR,83333.340000,0.000000,0.420000,0.000000,0.024000,0.000000,0.319000,0.000000,0.959000,0.000000,1.503000,0.000000,3.391000,0.000000
LPUSH,76923.080000,0.000000,0.388000,0.000000,0.072000,0.000000,0.343000,0.000000,0.695000,0.000000,0.983000,0.000000,1.959000,0.000000
RPUSH,76923.080000,0.000000,0.358000,0.000000,0.024000,0.000000,0.279000,0.000000,1.047000,0.000000,1.391000,0.000000,2.999000,0.000000
LPOP,90909.090000,0.000000,0.409000,0.000000,0.016000,0.000000,0.263000,0.000000,1.015000,0.000000,3.743000,0.000000,4.271000,0.000000
RPOP,90909.090000,0.000000,0.408000,0.000000,0.016000,0.000000,0.271000,0.000000,0.943000,0.000000,3.655000,0.000000,3.983000,0.000000
SADD,100000.000000,0.000000,0.321000,0.000000,0.016000,0.000000,0.271000,0.000000,0.743000,0.000000,0.967000,0.000000,2.799000,0.000000
HSET,83333.340000,0.000000,0.332000,0.000000,0.056000,0.000000,0.271000,0.000000,0.759000,0.000000,1.311000,0.000000,1.559000,0.000000
SPOP,83333.340000,0.000000,0.451000,0.000000,0.024000,0.000000,0.311000,0.000000,1.255000,0.000000,2.327000,0.000000,2.455000,0.000000
LPUSH (needed to benchmark LRANGE),90909.090000,0.000000,0.292000,0.000000,0.088000,0.000000,0.271000,0.000000,0.463000,0.000000,0.623000,0.000000,0.807000,0.000000
LRANGE_100 (first 100 elements),62500.000000,0.000000,0.627000,0.000000,0.032000,0.000000,0.367000,0.000000,1.951000,0.000000,4.751000,0.000000,8.103000,0.000000
MSET (10 keys),90909.090000,0.000000,0.469000,0.000000,0.016000,0.000000,0.327000,0.000000,1.367000,0.000000,2.111000,0.000000,3.535000,0.000000
