test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,999999.940000,0.000000,0.313000,0.000000,0.080000,0.000000,0.287000,0.000000,0.519000,0.000000,0.543000,0.000000,0.551000,0.000000
PING_MBULK,499999.970000,0.000000,0.352000,0.000000,0.120000,0.000000,0.327000,0.000000,0.559000,0.000000,0.639000,0.000000,0.655000,0.000000
SET,499999.970000,0.000000,0.486000,0.000000,0.072000,0.000000,0.423000,0.000000,0.903000,0.000000,0.999000,0.000000,1.015000,0.000000
GET,999999.940000,0.000000,0.316000,0.000000,0.064000,0.000000,0.311000,0.000000,0.527000,0.000000,0.543000,0.000000,0.583000,0.000000
INCR,499999.970000,0.000000,0.484000,0.000000,0.152000,0.000000,0.407000,0.000000,0.999000,0.000000,1.175000,0.000000,1.295000,0.000000
LPUSH,333333.340000,0.000000,1.029000,0.000000,0.048000,0.000000,1.143000,0.000000,1.415000,0.000000,1.487000,0.000000,1.503000,0.000000
RPUSH,499999.970000,0.000000,0.882000,0.000000,0.032000,0.000000,1.127000,0.000000,1.367000,0.000000,1.471000,0.000000,2.063000,0.000000
LPOP,333333.340000,0.000000,1.001000,0.000000,0.040000,0.000000,1.311000,0.000000,1.647000,0.000000,1.751000,0.000000,2.687000,0.000000
RPOP,499999.970000,0.000000,0.825000,0.000000,0.032000,0.000000,1.135000,0.000000,1.535000,0.000000,1.567000,0.000000,1.607000,0.000000
SADD,333333.340000,0.000000,1.089000,0.000000,0.040000,0.000000,1.383000,0.000000,1.975000,0.000000,2.055000,0.000000,2.071000,0.000000
HSET,499999.970000,0.000000,0.814000,0.000000,0.040000,0.000000,1.079000,0.000000,1.359000,0.000000,1.399000,0.000000,1.455000,0.000000
SPOP,333333.340000,0.000000,0.852000,0.000000,0.040000,0.000000,1.111000,0.000000,1.423000,0.000000,1.479000,0.000000,1.559000,0.000000
LPUSH (needed to benchmark LRANGE),499999.970000,0.000000,0.752000,0.000000,0.040000,0.000000,1.039000,0.000000,1.231000,0.000000,1.287000,0.000000,1.295000,0.000000
LRANGE_100 (first 100 elements),200000.000000,0.000000,1.410000,0.000000,0.472000,0.000000,1.359000,0.000000,2.567000,0.000000,2.927000,0.000000,3.047000,0.000000
MSET (10 keys),200000.000000,0.000000,1.742000,0.000000,0.456000,0.000000,1.679000,0.000000,2.919000,0.000000,3.623000,0.000000,3.623000,0.000000
