"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","90909.09","0.294","0.040","0.295","0.399","0.503","0.583"
"PING_MBULK","90909.09","0.298","0.056","0.295","0.447","0.559","0.655"
"SET","100000.00","0.253","0.032","0.247","0.415","0.511","0.583"
"GET","111111.12","0.233","0.040","0.231","0.311","0.455","0.527"
"INCR","111111.12","0.241","0.040","0.239","0.335","0.455","0.543"
"LPUSH","100000.00","0.254","0.032","0.255","0.367","0.487","0.551"
"RPUSH","90909.09","0.326","0.064","0.255","0.551","1.951","2.047"
"LPOP","111111.12","0.242","0.032","0.239","0.359","0.479","0.647"
"RPOP","100000.00","0.248","0.032","0.247","0.351","0.415","0.487"
"SADD","100000.00","0.242","0.048","0.239","0.359","0.447","0.487"
"HSET","100000.00","0.249","0.048","0.255","0.359","0.431","0.487"
"SPOP","111111.12","0.243","0.040","0.239","0.335","0.495","0.551"
"LPUSH (needed to benchmark LRANGE)","90909.09","0.327","0.064","0.247","0.511","2.143","2.359"
"LRANGE_100 (first 100 elements)","71428.57","0.344","0.192","0.335","0.455","0.495","0.583"
"MSET (10 keys)","100000.00","0.245","0.040","0.247","0.327","0.431","0.503"
