test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,999999.940000,0.000000,0.360000,0.000000,0.200000,0.000000,0.335000,0.000000,0.607000,0.000000,0.647000,0.000000,0.663000,0.000000
PING_MBULK,999999.940000,0.000000,0.333000,0.000000,0.104000,0.000000,0.311000,0.000000,0.583000,0.000000,0.623000,0.000000,0.623000,0.000000
SET,999999.940000,0.000000,0.401000,0.000000,0.056000,0.000000,0.399000,0.000000,0.711000,0.000000,0.967000,0.000000,1.151000,0.000000
GET,499999.970000,0.000000,0.292000,0.000000,0.120000,0.000000,0.279000,0.000000,0.487000,0.000000,0.535000,0.000000,0.535000,0.000000
INCR,499999.970000,0.000000,0.409000,0.000000,0.072000,0.000000,0.407000,0.000000,0.679000,0.000000,0.695000,0.000000,0.711000,0.000000
LPUSH,499999.970000,0.000000,0.784000,0.000000,0.032000,0.000000,0.959000,0.000000,1.231000,0.000000,1.263000,0.000000,1.271000,0.000000
RPUSH,499999.970000,0.000000,0.722000,0.000000,0.032000,0.000000,0.863000,0.000000,1.335000,0.000000,1.647000,0.000000,2.119000,0.000000
LPOP,499999.970000,0.000000,0.684000,0.000000,0.032000,0.000000,0.503000,0.000000,1.287000,0.000000,1.367000,0.000000,1.975000,0.000000
RPOP,499999.970000,0.000000,0.699000,0.000000,0.032000,0.000000,0.719000,0.000000,1.311000,0.000000,1.343000,0.000000,1.351000,0.000000
SADD,499999.970000,0.000000,0.870000,0.000000,0.032000,0.000000,1.151000,0.000000,1.391000,0.000000,1.407000,0.000000,1.415000,0.000000
HSET,333333.340000,0.000000,0.789000,0.000000,0.040000,0.000000,0.959000,0.000000,1.479000,0.000000,1.575000,0.000000,1.575000,0.000000
SPOP,499999.970000,0.000000,0.729000,0.000000,0.032000,0.000000,0.903000,0.000000,1.423000,0.000000,1.695000,0.000000,2.183000,0.000000
LPUSH (needed to benchmark LRANGE),499999.970000,0.000000,0.666000,0.000000,0.032000,0.000000,0.471000,0.000000,1.295000,0.000000,1.319000,0.000000,1.335000,0.000000
LRANGE_100 (first 100 elements),200000.000000,0.000000,1.332000,0.000000,0.448000,0.000000,1.271000,0.000000,2.351000,0.000000,3.063000,0.000000,3.247000,0.000000
MSET (10 keys),249999.980000,0.000000,1.760000,0.000000,0.344000,0.000000,1.607000,0.000000,3.151000,0.000000,3.695000,0.000000,3.727000,0.000000
