"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","999999.94","0.360","0.200","0.335","0.607","0.647","0.663"
"PING_MBULK","999999.94","0.333","0.104","0.311","0.583","0.623","0.623"
"SET","999999.94","0.401","0.056","0.399","0.711","0.967","1.151"
"GET","499999.97","0.292","0.120","0.279","0.487","0.535","0.535"
"INCR","499999.97","0.409","0.072","0.407","0.679","0.695","0.711"
"LPUSH","499999.97","0.784","0.032","0.959","1.231","1.263","1.271"
"RPUSH","499999.97","0.722","0.032","0.863","1.335","1.647","2.119"
"LPOP","499999.97","0.684","0.032","0.503","1.287","1.367","1.975"
"RPOP","499999.97","0.699","0.032","0.719","1.311","1.343","1.351"
"SADD","499999.97","0.870","0.032","1.151","1.391","1.407","1.415"
"HSET","333333.34","0.789","0.040","0.959","1.479","1.575","1.575"
"SPOP","499999.97","0.729","0.032","0.903","1.423","1.695","2.183"
"LPUSH (needed to benchmark LRANGE)","499999.97","0.666","0.032","0.471","1.295","1.319","1.335"
"LRANGE_100 (first 100 elements)","200000.00","1.332","0.448","1.271","2.351","3.063","3.247"
"MSET (10 keys)","249999.98","1.760","0.344","1.607","3.151","3.695","3.727"
