"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","83333.34","0.416","0.040","0.311","0.887","3.279","3.567"
"PING_MBULK","83333.34","0.313","0.064","0.311","0.463","0.551","0.623"
"SET","90909.09","0.295","0.048","0.295","0.407","0.503","0.599"
"GET","90909.09","0.288","0.048","0.287","0.399","0.495","0.583"
"INCR","100000.00","0.260","0.032","0.247","0.399","0.519","0.599"
"LPUSH","100000.00","0.240","0.040","0.239","0.375","0.495","0.695"
"RPUSH","111111.12","0.226","0.032","0.223","0.303","0.431","0.503"
"LPOP","100000.00","0.251","0.032","0.247","0.391","0.503","0.567"
"RPOP","111111.12","0.249","0.040","0.239","0.391","0.559","0.967"
"SADD","111111.12","0.237","0.048","0.239","0.319","0.415","0.479"
"HSET","100000.00","0.245","0.048","0.239","0.335","0.471","0.551"
"SPOP","100000.00","0.248","0.032","0.247","0.391","0.455","0.527"
"LPUSH (needed to benchmark LRANGE)","111111.12","0.240","0.056","0.239","0.335","0.431","0.503"
"LRANGE_100 (first 100 elements)","66666.67","0.551","0.032","0.351","1.263","7.487","7.983"
"MSET (10 keys)","90909.09","0.271","0.064","0.271","0.359","0.463","0.535"
