test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,999999.940000,0.000000,0.418000,0.000000,0.072000,0.000000,0.407000,0.000000,0.847000,0.000000,0.927000,0.000000,0.943000,0.000000
PING_MBULK,333333.340000,0.000000,1.181000,0.000000,0.080000,0.000000,1.183000,0.000000,2.247000,0.000000,2.399000,0.000000,2.511000,0.000000
SET,249999.980000,0.000000,1.143000,0.000000,0.072000,0.000000,0.799000,0.000000,2.631000,0.000000,3.079000,0.000000,3.191000,0.000000
GET,333333.340000,0.000000,0.872000,0.000000,0.056000,0.000000,0.639000,0.000000,2.047000,0.000000,2.255000,0.000000,2.695000,0.000000
INCR,499999.970000,0.000000,0.891000,0.000000,0.064000,0.000000,0.767000,0.000000,1.815000,0.000000,1.983000,0.000000,2.079000,0.000000
LPUSH,249999.980000,0.000000,1.243000,0.000000,0.048000,0.000000,1.047000,0.000000,3.367000,0.000000,3.519000,0.000000,3.543000,0.000000
RPUSH,333333.340000,0.000000,1.120000,0.000000,0.040000,0.000000,0.999000,0.000000,2.271000,0.000000,2.591000,0.000000,2.631000,0.000000
LPOP,249999.980000,0.000000,1.209000,0.000000,0.072000,0.000000,1.031000,0.000000,2.591000,0.000000,3.407000,0.000000,3.423000,0.000000
RPOP,200000.000000,0.000000,1.831000,0.000000,0.048000,0.000000,1.695000,0.000000,4.159000,0.000000,4.463000,0.000000,4.543000,0.000000
SADD,249999.980000,0.000000,1.362000,0.000000,0.112000,0.000000,1.183000,0.000000,3.015000,0.000000,3.423000,0.000000,3.647000,0.000000
HSET,333333.340000,0.000000,1.118000,0.000000,0.048000,0.000000,1.103000,0.000000,2.479000,0.000000,2.839000,0.000000,2.887000,0.000000
SPOP,333333.340000,0.000000,1.024000,0.000000,0.048000,0.000000,1.303000,0.000000,1.703000,0.000000,1.791000,0.000000,2.111000,0.000000
LPUSH (needed to benchmark LRANGE),499999.970000,0.000000,0.871000,0.000000,0.048000,0.000000,1.127000,0.000000,1.543000,0.000000,1.639000,0.000000,1.679000,0.000000
LRANGE_100 (first 100 elements),100000.000000,0.000000,4.156000,0.000000,0.256000,0.000000,4.447000,0.000000,7.375000,0.000000,10.023000,0.000000,10.095000,0.000000
MSET (10 keys),124999.990000,0.000000,3.286000,0.000000,0.160000,0.000000,2.911000,0.000000,6.687000,0.000000,7.487000,0.000000,7.511000,0.000000
