test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,999999.940000,0.000000,0.348000,0.000000,0.080000,0.000000,0.335000,0.000000,0.583000,0.000000,0.607000,0.000000,0.615000,0.000000
PING_MBULK,999999.940000,0.000000,0.503000,0.000000,0.064000,0.000000,0.479000,0.000000,0.831000,0.000000,1.743000,0.000000,1.775000,0.000000
SET,249999.980000,0.000000,1.219000,0.000000,0.072000,0.000000,0.895000,0.000000,2.719000,0.000000,2.823000,0.000000,2.983000,0.000000
GET,499999.970000,0.000000,0.652000,0.000000,0.072000,0.000000,0.567000,0.000000,1.311000,0.000000,1.391000,0.000000,1.447000,0.000000
INCR,124999.990000,0.000000,2.763000,0.000000,0.160000,0.000000,2.631000,0.000000,5.007000,0.000000,5.327000,0.000000,5.407000,0.000000
LPUSH,200000.000000,0.000000,1.608000,0.000000,0.056000,0.000000,1.687000,0.000000,2.975000,0.000000,3.479000,0.000000,3.551000,0.000000
RPUSH,333333.340000,0.000000,1.181000,0.000000,0.048000,0.000000,1.055000,0.000000,2.391000,0.000000,2.511000,0.000000,2.543000,0.000000
LPOP,333333.340000,0.000000,0.988000,0.000000,0.040000,0.000000,1.263000,0.000000,1.839000,0.000000,1.863000,0.000000,1.911000,0.000000
RPOP,249999.980000,0.000000,1.363000,0.000000,0.080000,0.000000,0.999000,0.000000,3.223000,0.000000,3.423000,0.000000,3.455000,0.000000
SADD,249999.980000,0.000000,1.486000,0.000000,0.096000,0.000000,1.159000,0.000000,2.647000,0.000000,2.727000,0.000000,2.823000,0.000000
HSET,249999.980000,0.000000,1.109000,0.000000,0.040000,0.000000,1.111000,0.000000,2.655000,0.000000,2.783000,0.000000,2.823000,0.000000
SPOP,333333.340000,0.000000,1.347000,0.000000,0.096000,0.000000,1.095000,0.000000,3.007000,0.000000,3.167000,0.000000,3.167000,0.000000
LPUSH (needed to benchmark LRANGE),249999.980000,0.000000,1.434000,0.000000,0.048000,0.000000,1.295000,0.000000,3.239000,0.000000,3.391000,0.000000,4.247000,0.000000
LRANGE_100 (first 100 elements),76923.080000,0.000000,3.954000,0.000000,0.288000,0.000000,2.751000,0.000000,10.567000,0.000000,11.415000,0.000000,11.791000,0.000000
MSET (10 keys),100000.000000,0.000000,4.078000,0.000000,0.216000,0.000000,3.479000,0.000000,8.623000,0.000000,9.055000,0.000000,9.111000,0.000000
