test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,83333.340000,0.000000,0.376000,0.000000,0.048000,0.000000,0.319000,0.000000,0.775000,0.000000,1.159000,0.000000,1.703000,0.000000
PING_MBULK,83333.340000,0.000000,0.342000,0.000000,0.112000,0.000000,0.319000,0.000000,0.519000,0.000000,0.623000,0.000000,0.895000,0.000000
SET,100000.000000,0.000000,0.331000,0.000000,0.032000,0.000000,0.271000,0.000000,0.815000,0.000000,1.207000,0.000000,1.447000,0.000000
GET,100000.000000,0.000000,0.337000,0.000000,0.016000,0.000000,0.255000,0.000000,0.815000,0.000000,1.175000,0.000000,2.711000,0.000000
INCR,100000.000000,0.000000,0.347000,0.000000,0.016000,0.000000,0.279000,0.000000,0.735000,0.000000,0.999000,0.000000,3.471000,0.000000
LPUSH,90909.090000,0.000000,0.368000,0.000000,0.016000,0.000000,0.263000,0.000000,0.911000,0.000000,2.271000,0.000000,5.503000,0.000000
RPUSH,100000.000000,0.000000,0.366000,0.000000,0.016000,0.000000,0.263000,0.000000,0.903000,0.000000,3.063000,0.000000,5.055000,0.000000
LPOP,90909.090000,0.000000,0.347000,0.000000,0.024000,0.000000,0.263000,0.000000,0.839000,0.000000,1.231000,0.000000,1.983000,0.000000
RPOP,100000.000000,0.000000,0.263000,0.000000,0.080000,0.000000,0.239000,0.000000,0.431000,0.000000,0.575000,0.000000,0.751000,0.000000
SADD,76923.080000,0.000000,0.494000,0.000000,0.016000,0.000000,0.303000,0.000000,1.263000,0.000000,4.247000,0.000000,4.423000,0.000000
HSET,100000.000000,0.000000,0.277000,0.000000,0.064000,0.000000,0.263000,0.000000,0.407000,0.000000,0.527000,0.000000,1.751000,0.000000
SPOP,90909.090000,0.000000,0.339000,0.000000,0.040000,0.000000,0.255000,0.000000,0.767000,0.000000,3.407000,0.000000,3.879000,0.000000
LPUSH (needed to benchmark LRANGE),71428.570000,0.000000,0.567000,0.000000,0.016000,0.000000,0.295000,0.000000,2.447000,0.000000,3.775000,0.000000,6.999000,0.000000
LRANGE_100 (first 100 elements),71428.570000,0.000000,0.459000,0.000000,0.032000,0.000000,0.335000,0.000000,1.167000,0.000000,2.415000,0.000000,2.903000,0.000000
MSET (10 keys),100000.000000,0.000000,0.417000,0.000000,0.024000,0.000000,0.303000,0.000000,1.079000,0.000000,1.679000,0.000000,3.399000,0.000000
