test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,499999.970000,0.000000,0.399000,0.000000,0.072000,0.000000,0.391000,0.000000,0.639000,0.000000,0.743000,0.000000,0.783000,0.000000
PING_MBULK,499999.970000,0.000000,0.419000,0.000000,0.120000,0.000000,0.423000,0.000000,0.639000,0.000000,0.687000,0.000000,0.703000,0.000000
SET,499999.970000,0.000000,0.563000,0.000000,0.096000,0.000000,0.479000,0.000000,1.127000,0.000000,1.583000,0.000000,1.583000,0.000000
GET,499999.970000,0.000000,0.485000,0.000000,0.072000,0.000000,0.471000,0.000000,0.783000,0.000000,0.839000,0.000000,0.847000,0.000000
INCR,499999.970000,0.000000,0.753000,0.000000,0.088000,0.000000,0.655000,0.000000,1.455000,0.000000,1.743000,0.000000,1.847000,0.000000
LPUSH,333333.340000,0.000000,1.204000,0.000000,0.064000,0.000000,1.343000,0.000000,1.655000,0.000000,1.687000,0.000000,1.711000,0.000000
RPUSH,333333.340000,0.000000,0.926000,0.000000,0.040000,0.000000,1.199000,0.000000,1.415000,0.000000,1.455000,0.000000,1.455000,0.000000
LPOP,333333.340000,0.000000,0.980000,0.000000,0.056000,0.000000,1.199000,0.000000,1.455000,0.000000,1.503000,0.000000,2.255000,0.000000
RPOP,333333.340000,0.000000,1.050000,0.000000,0.048000,0.000000,1.335000,0.000000,1.583000,0.000000,1.631000,0.000000,1.639000,0.000000
SADD,249999.980000,0.000000,1.058000,0.000000,0.064000,0.000000,1.263000,0.000000,1.487000,0.000000,1.495000,0.000000,1.527000,0.000000
HSET,249999.980000,0.000000,1.192000,0.000000,0.048000,0.000000,1.255000,0.000000,2.247000,0.000000,2.335000,0.000000,2.439000,0.000000
SPOP,333333.340000,0.000000,1.040000,0.000000,0.056000,0.000000,1.191000,0.000000,1.671000,0.000000,2.207000,0.000000,2.695000,0.000000
LPUSH (needed to benchmark LRANGE),333333.340000,0.000000,0.996000,0.000000,0.040000,0.000000,1.215000,0.000000,2.007000,0.000000,2.679000,0.000000,2.759000,0.000000
LRANGE_100 (first 100 elements),111111.120000,0.000000,2.236000,0.000000,0.640000,0.000000,2.167000,0.000000,3.783000,0.000000,4.103000,0.000000,4.319000,0.000000
MSET (10 keys),142857.140000,0.000000,3.037000,0.000000,0.216000,0.000000,2.479000,0.000000,6.255000,0.000000,6.591000,0.000000,6.639000,0.000000
