"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","499999.97","0.399","0.072","0.391","0.639","0.743","0.783"
"PING_MBULK","499999.97","0.419","0.120","0.423","0.639","0.687","0.703"
"SET","499999.97","0.563","0.096","0.479","1.127","1.583","1.583"
"GET","499999.97","0.485","0.072","0.471","0.783","0.839","0.847"
"INCR","499999.97","0.753","0.088","0.655","1.455","1.743","1.847"
"LPUSH","333333.34","1.204","0.064","1.343","1.655","1.687","1.711"
"RPUSH","333333.34","0.926","0.040","1.199","1.415","1.455","1.455"
"LPOP","333333.34","0.980","0.056","1.199","1.455","1.503","2.255"
"RPOP","333333.34","1.050","0.048","1.335","1.583","1.631","1.639"
"SADD","249999.98","1.058","0.064","1.263","1.487","1.495","1.527"
"HSET","249999.98","1.192","0.048","1.255","2.247","2.335","2.439"
"SPOP","333333.34","1.040","0.056","1.191","1.671","2.207","2.695"
"LPUSH (needed to benchmark LRANGE)","333333.34","0.996","0.040","1.215","2.007","2.679","2.759"
"LRANGE_100 (first 100 elements)","111111.12","2.236","0.640","2.167","3.783","4.103","4.319"
"MSET (10 keys)","142857.14","3.037","0.216","2.479","6.255","6.591","6.639"
