"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","869565.19","0.479","0.032","0.327","1.271","2.639","12.815"
"PING_MBULK","833333.38","0.465","0.032","0.335","1.175","2.063","11.119"
"SET","613496.94","0.798","0.040","0.367","3.255","6.999","11.207"
"GET","729927.06","0.666","0.040","0.487","1.719","3.591","14.191"
"INCR","625000.00","0.790","0.040","0.319","3.343","8.263","12.279"
"LPUSH","395256.94","1.253","0.032","1.199","1.631","2.847","4.879"
"RPUSH","403225.81","1.227","0.040","1.183","1.655","2.711","3.383"
"LPOP","421940.94","1.171","0.032","1.143","1.847","3.247","8.191"
"RPOP","442477.88","1.120","0.032","1.151","1.463","2.151","3.111"
"SADD","418410.06","1.182","0.032","1.175","1.623","2.415","3.071"
"HSET","387596.91","1.276","0.040","1.199","1.719","4.399","6.615"
"SPOP","429184.56","1.156","0.024","1.159","1.719","2.735","5.519"
"LPUSH (needed to benchmark LRANGE)","411522.62","1.205","0.032","1.175","1.543","2.767","6.007"
"LRANGE_100 (first 100 elements)","174825.17","2.180","0.176","1.279","6.855","14.151","20.815"
"MSET (10 keys)","227272.73","2.185","0.104","1.767","5.215","7.343","12.383"
