"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","110132.16","0.236","0.032","0.231","0.311","0.359","5.055"
"PING_MBULK","102986.61","0.253","0.016","0.239","0.319","0.391","3.999"
"SET","103842.16","0.251","0.024","0.239","0.327","0.399","2.527"
"GET","103950.10","0.250","0.040","0.239","0.335","0.399","1.719"
"INCR","103626.95","0.252","0.024","0.239","0.319","0.391","2.111"
"LPUSH","111111.12","0.238","0.016","0.231","0.279","0.383","3.735"
"RPUSH","107411.38","0.244","0.024","0.239","0.311","0.375","4.407"
"LPOP","108342.37","0.240","0.024","0.231","0.311","0.367","1.199"
"RPOP","103199.18","0.252","0.056","0.247","0.319","0.375","3.511"
"SADD","106837.61","0.244","0.016","0.239","0.311","0.375","2.151"
"HSET","105596.62","0.249","0.016","0.239","0.327","0.423","4.487"
"SPOP","110253.59","0.238","0.016","0.231","0.303","0.391","2.815"
"LPUSH (needed to benchmark LRANGE)","109529.02","0.239","0.016","0.231","0.311","0.399","3.263"
"LRANGE_100 (first 100 elements)","71787.51","0.390","0.024","0.351","0.503","1.415","17.631"
"MSET (10 keys)","107526.88","0.264","0.016","0.239","0.375","0.863","8.191"
