test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,105374.080000,6397.720000,0.247000,0.014000,0.024000,0.008000,0.239000,0.008000,0.319000,0.016000,0.367000,0.032000,1.919000,3.208000
PING_MBULK,109051.260000,8371.970000,0.238000,0.019000,0.016000,0.008000,0.231000,0.008000,0.311000,0.024000,0.367000,0.032000,2.799000,1.640000
SET,110864.740000,9152.190000,0.234000,0.021000,0.024000,0.000000,0.231000,0.008000,0.295000,0.048000,0.351000,0.056000,1.879000,0.848000
GET,108225.100000,8157.520000,0.240000,0.016000,0.032000,0.016000,0.231000,0.008000,0.311000,0.056000,0.375000,0.032000,2.231000,1.656000
INCR,108225.100000,5305.510000,0.241000,0.011000,0.032000,0.016000,0.239000,0.008000,0.303000,0.016000,0.383000,0.024000,2.943000,1.800000
LPUSH,111111.120000,7140.100000,0.238000,0.015000,0.016000,0.008000,0.231000,0.008000,0.279000,0.056000,0.383000,0.024000,2.639000,2.520000
RPUSH,109890.110000,6874.330000,0.238000,0.016000,0.024000,0.008000,0.231000,0.008000,0.303000,0.040000,0.359000,0.032000,3.807000,2.744000
LPOP,110132.160000,5552.840000,0.239000,0.011000,0.024000,0.016000,0.231000,0.008000,0.311000,0.048000,0.367000,0.064000,2.759000,3.208000
RPOP,107526.880000,11348.350000,0.242000,0.024000,0.024000,0.032000,0.231000,0.024000,0.319000,0.056000,0.375000,0.040000,3.511000,3.368000
SADD,112994.350000,7317.640000,0.231000,0.013000,0.016000,0.016000,0.231000,0.008000,0.287000,0.040000,0.359000,0.024000,2.151000,7.680000
HSET,109051.260000,7397.730000,0.240000,0.018000,0.024000,0.008000,0.231000,0.008000,0.319000,0.048000,0.375000,0.072000,1.991000,3.360000
SPOP,111607.140000,2359.020000,0.236000,0.003000,0.016000,0.000000,0.231000,0.008000,0.295000,0.024000,0.391000,0.064000,2.815000,2.280000
LPUSH (needed to benchmark LRANGE),110987.790000,3849.660000,0.235000,0.008000,0.024000,0.032000,0.231000,0.000000,0.295000,0.032000,0.367000,0.048000,2.839000,1.608000
LRANGE_100 (first 100 elements),72358.900000,3570.440000,0.373000,0.023000,0.024000,0.008000,0.351000,0.032000,0.471000,0.040000,1.335000,0.440000,7.719000,10.512000
MSET (10 keys),107526.880000,2041.650000,0.264000,0.002000,0.024000,0.008000,0.239000,0.000000,0.375000,0.024000,0.863000,0.112000,8.191000,3.888000
