test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,854700.880000,103060.130000,0.465000,0.070000,0.024000,0.000000,0.327000,0.072000,1.223000,0.264000,3.175000,0.344000,11.863000,4.680000
PING_MBULK,833333.380000,48249.260000,0.498000,0.060000,0.024000,0.008000,0.343000,0.032000,1.247000,0.184000,2.799000,1.696000,13.463000,4.672000
SET,621118.000000,48754.750000,0.793000,0.063000,0.032000,0.008000,0.327000,0.048000,3.015000,0.392000,7.583000,2.056000,12.327000,2.472000
GET,793650.750000,19050.060000,0.604000,0.007000,0.032000,0.008000,0.455000,0.008000,1.535000,0.080000,2.327000,0.616000,9.863000,5.416000
INCR,613496.940000,73375.250000,0.799000,0.099000,0.040000,0.008000,0.343000,0.072000,3.375000,0.192000,6.903000,0.872000,11.535000,3.232000
LPUSH,431034.500000,54554.470000,1.152000,0.167000,0.032000,0.008000,1.159000,0.080000,1.727000,0.456000,2.735000,0.832000,6.247000,5.184000
RPUSH,390624.970000,25832.690000,1.269000,0.078000,0.032000,0.016000,1.199000,0.056000,1.847000,0.480000,3.007000,1.056000,4.583000,3.784000
LPOP,442477.880000,20536.940000,1.120000,0.052000,0.032000,0.008000,1.151000,0.016000,1.599000,0.176000,2.359000,0.352000,4.151000,1.144000
RPOP,442477.880000,13892.190000,1.121000,0.030000,0.032000,0.008000,1.151000,0.024000,1.655000,0.200000,2.311000,0.064000,4.311000,0.296000
SADD,421940.940000,7182.380000,1.169000,0.017000,0.032000,0.008000,1.167000,0.016000,1.631000,0.112000,2.607000,0.056000,4.143000,2.048000
HSET,400000.000000,3225.810000,1.234000,0.016000,0.040000,0.000000,1.183000,0.008000,1.767000,0.296000,2.727000,0.584000,4.231000,2.680000
SPOP,436681.220000,14867.690000,1.132000,0.035000,0.024000,0.000000,1.151000,0.008000,1.743000,0.032000,2.799000,0.264000,5.079000,2.056000
LPUSH (needed to benchmark LRANGE),442477.880000,44822.120000,1.118000,0.132000,0.032000,0.000000,1.143000,0.080000,1.607000,0.320000,2.455000,0.328000,5.135000,1.736000
LRANGE_100 (first 100 elements),175438.590000,4264.650000,2.173000,0.131000,0.128000,0.048000,1.311000,0.072000,6.639000,0.432000,11.391000,1.136000,19.071000,3.456000
MSET (10 keys),217864.920000,14765.520000,2.285000,0.150000,0.112000,0.016000,1.855000,0.144000,5.487000,0.224000,7.687000,0.600000,15.095000,4.688000
