"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","854700.88","0.465","0.024","0.327","1.095","3.015","12.199"
"PING_MBULK","806451.62","0.498","0.024","0.343","1.191","2.735","13.743"
"SET","621118.00","0.793","0.032","0.327","3.015","9.239","13.111"
"GET","787401.56","0.604","0.040","0.455","1.519","2.311","12.511"
"INCR","628930.81","0.786","0.040","0.343","3.375","7.471","11.535"
"LPUSH","380228.12","1.302","0.024","1.223","1.967","2.999","10.559"
"RPUSH","389105.06","1.269","0.048","1.223","1.751","2.559","3.791"
"LPOP","421940.94","1.167","0.040","1.167","1.703","2.703","4.151"
"RPOP","438596.50","1.125","0.040","1.159","1.655","2.311","4.391"
"SADD","420168.06","1.174","0.040","1.167","1.615","2.607","4.143"
"HSET","400000.00","1.240","0.040","1.191","1.767","2.991","6.119"
"SPOP","438596.50","1.130","0.024","1.151","1.743","2.695","4.887"
"LPUSH (needed to benchmark LRANGE)","401606.44","1.237","0.032","1.215","1.607","2.455","3.807"
"LRANGE_100 (first 100 elements)","175438.59","2.173","0.168","1.311","6.639","10.927","19.071"
"MSET (10 keys)","214592.28","2.315","0.128","1.871","5.487","8.255","17.327"
