"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","104493.20","0.248","0.024","0.239","0.319","0.391","1.623"
"PING_MBULK","99108.03","0.262","0.056","0.263","0.335","0.415","1.151"
"SET","104602.52","0.250","0.048","0.239","0.327","0.391","2.799"
"GET","99601.60","0.263","0.040","0.263","0.335","0.391","3.407"
"INCR","99800.40","0.262","0.032","0.263","0.327","0.383","4.935"
"LPUSH","99700.90","0.263","0.016","0.255","0.351","0.407","4.167"
"RPUSH","104712.05","0.250","0.024","0.239","0.319","0.375","3.535"
"LPOP","100908.17","0.260","0.024","0.239","0.367","0.455","4.215"
"RPOP","104166.67","0.251","0.024","0.239","0.327","0.407","2.543"
"SADD","111607.14","0.234","0.064","0.231","0.279","0.359","2.655"
"HSET","106496.27","0.245","0.024","0.239","0.327","0.399","1.823"
"SPOP","105263.16","0.250","0.016","0.239","0.319","0.415","5.159"
"LPUSH (needed to benchmark LRANGE)","106157.12","0.245","0.016","0.239","0.319","0.367","1.951"
"LRANGE_100 (first 100 elements)","74460.16","0.360","0.032","0.335","0.447","0.759","18.015"
"MSET (10 keys)","105708.25","0.278","0.016","0.239","0.423","1.103","8.943"
