test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,105708.250000,7992.740000,0.246000,0.015000,0.024000,0.008000,0.239000,0.008000,0.311000,0.032000,0.375000,0.024000,3.431000,2.440000
PING_MBULK,105263.160000,13504.580000,0.250000,0.031000,0.024000,0.040000,0.239000,0.032000,0.327000,0.040000,0.415000,0.064000,1.663000,3.712000
SET,110375.270000,7004.620000,0.238000,0.015000,0.016000,0.032000,0.231000,0.008000,0.303000,0.048000,0.391000,0.032000,2.239000,1.192000
GET,110011.000000,12631.850000,0.238000,0.030000,0.024000,0.024000,0.231000,0.032000,0.303000,0.056000,0.367000,0.024000,3.671000,0.336000
INCR,103626.950000,12056.420000,0.253000,0.029000,0.024000,0.016000,0.239000,0.032000,0.327000,0.040000,0.383000,0.032000,2.911000,2.672000
LPUSH,111111.120000,12155.920000,0.239000,0.030000,0.016000,0.000000,0.231000,0.024000,0.295000,0.064000,0.407000,0.072000,3.143000,2.248000
RPUSH,111731.840000,7144.770000,0.236000,0.016000,0.024000,0.000000,0.231000,0.008000,0.287000,0.032000,0.375000,0.016000,3.535000,1.848000
LPOP,105152.480000,12599.210000,0.249000,0.030000,0.016000,0.008000,0.239000,0.008000,0.319000,0.088000,0.383000,0.104000,3.663000,0.888000
RPOP,107411.380000,3591.950000,0.251000,0.009000,0.024000,0.008000,0.231000,0.008000,0.335000,0.008000,0.407000,0.344000,3.887000,3.880000
SADD,109409.200000,4883.550000,0.240000,0.011000,0.024000,0.040000,0.231000,0.008000,0.303000,0.056000,0.391000,0.040000,4.055000,1.600000
HSET,108813.920000,3514.730000,0.240000,0.006000,0.024000,0.008000,0.239000,0.008000,0.303000,0.024000,0.383000,0.024000,2.199000,1.448000
SPOP,106496.270000,6095.420000,0.246000,0.014000,0.016000,0.000000,0.239000,0.008000,0.319000,0.032000,0.399000,0.016000,2.999000,2.928000
LPUSH (needed to benchmark LRANGE),106157.120000,6718.920000,0.245000,0.015000,0.024000,0.016000,0.239000,0.008000,0.319000,0.024000,0.367000,0.024000,1.951000,0.656000
LRANGE_100 (first 100 elements),74460.160000,1509.450000,0.361000,0.004000,0.032000,0.000000,0.335000,0.008000,0.455000,0.016000,0.967000,0.256000,18.015000,3.456000
MSET (10 keys),106157.120000,3700.950000,0.262000,0.026000,0.016000,0.000000,0.239000,0.000000,0.351000,0.080000,0.719000,0.488000,7.631000,4.272000
