test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,362318.840000,48178.930000,1.371000,0.209000,0.024000,0.000000,0.103000,0.048000,7.663000,0.712000,13.703000,0.456000,30.335000,9.824000
PING_MBULK,350877.190000,13500.250000,1.413000,0.067000,0.024000,0.000000,0.103000,0.016000,7.927000,0.152000,13.831000,0.304000,26.927000,5.216000
SET,404858.310000,27125.500000,1.218000,0.083000,0.032000,0.000000,0.583000,0.048000,4.663000,0.632000,9.071000,1.808000,18.079000,4.912000
GET,303951.380000,10196.280000,1.628000,0.049000,0.032000,0.000000,0.151000,0.016000,9.111000,0.160000,16.623000,0.240000,36.287000,4.512000
INCR,416666.690000,13777.690000,1.188000,0.038000,0.032000,0.000000,0.575000,0.024000,4.583000,0.280000,8.959000,2.472000,18.959000,8.200000
LPUSH,420168.060000,14490.350000,1.176000,0.036000,0.032000,0.000000,1.103000,0.016000,1.991000,0.296000,4.839000,1.144000,6.847000,0.848000
RPUSH,420168.060000,39753.530000,1.180000,0.120000,0.032000,0.000000,1.095000,0.040000,2.119000,0.752000,4.583000,0.408000,7.919000,1.920000
LPOP,423728.810000,42652.630000,1.170000,0.114000,0.032000,0.000000,1.111000,0.024000,2.055000,0.736000,4.455000,1.984000,7.079000,3.064000
RPOP,425531.910000,36592.500000,1.161000,0.098000,0.032000,0.000000,1.111000,0.016000,2.263000,0.272000,4.167000,1.400000,7.063000,1.368000
SADD,386100.380000,116444.720000,1.275000,0.401000,0.032000,0.000000,1.167000,0.248000,2.519000,1.280000,4.415000,0.952000,6.071000,5.840000
HSET,381679.410000,124517.910000,1.291000,0.529000,0.040000,0.008000,1.199000,0.400000,2.407000,1.864000,4.279000,2.688000,7.607000,5.832000
SPOP,381679.410000,95260.810000,1.294000,0.351000,0.024000,0.000000,1.135000,0.112000,2.975000,1.904000,5.391000,2.304000,9.967000,4.784000
LPUSH (needed to benchmark LRANGE),418410.060000,75162.590000,1.185000,0.232000,0.032000,0.000000,1.111000,0.096000,2.271000,0.792000,4.047000,1.808000,6.759000,5.056000
LRANGE_100 (first 100 elements),168350.170000,12870.830000,2.590000,0.247000,0.112000,0.008000,1.319000,0.720000,8.175000,4.488000,16.735000,5.376000,32.559000,24.000000
MSET (10 keys),204081.620000,9280.810000,2.435000,0.105000,0.104000,0.000000,1.991000,0.040000,5.871000,0.360000,8.207000,0.856000,15.135000,1.568000
