"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","112739.57","0.234","0.024","0.223","0.303","0.391","4.135"
"PING_MBULK","113765.64","0.229","0.016","0.223","0.295","0.359","2.879"
"SET","111358.58","0.236","0.024","0.231","0.311","0.359","4.159"
"GET","117233.30","0.223","0.024","0.223","0.263","0.343","2.815"
"INCR","117370.89","0.222","0.024","0.223","0.263","0.335","1.623"
"LPUSH","117508.81","0.224","0.016","0.223","0.263","0.343","5.039"
"RPUSH","117370.89","0.222","0.048","0.223","0.271","0.327","1.375"
"LPOP","109769.48","0.239","0.032","0.223","0.335","0.431","4.703"
"RPOP","117370.89","0.222","0.024","0.223","0.271","0.327","3.375"
"SADD","116279.07","0.225","0.016","0.223","0.279","0.359","2.055"
"HSET","116822.43","0.223","0.008","0.223","0.279","0.343","1.599"
"SPOP","114942.53","0.231","0.016","0.223","0.287","0.423","3.839"
"LPUSH (needed to benchmark LRANGE)","112359.55","0.237","0.008","0.223","0.319","0.487","4.335"
"LRANGE_100 (first 100 elements)","68728.52","0.423","0.024","0.327","0.631","2.095","22.367"
"MSET (10 keys)","101936.80","0.301","0.016","0.239","0.591","1.439","11.927"
