"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","740740.69","0.614","0.016","0.335","1.703","4.959","21.807"
"PING_MBULK","694444.50","0.625","0.024","0.367","1.559","4.735","24.975"
"SET","350877.19","1.410","0.032","0.919","4.447","7.135","14.543"
"GET","578034.69","0.836","0.024","0.503","2.415","5.759","19.887"
"INCR","378787.88","1.308","0.032","0.799","4.167","6.759","17.999"
"LPUSH","316455.69","1.567","0.024","1.343","3.751","6.159","14.871"
"RPUSH","289855.06","1.708","0.032","1.519","3.967","5.703","15.863"
"LPOP","308641.97","1.607","0.024","1.391","3.759","5.935","31.567"
"RPOP","304878.03","1.623","0.024","1.407","3.919","6.191","13.095"
"SADD","296735.91","1.665","0.024","1.399","4.023","6.895","17.695"
"HSET","287356.34","1.728","0.032","1.495","4.063","6.287","19.519"
"SPOP","309597.50","1.601","0.016","1.375","3.999","6.439","17.743"
"LPUSH (needed to benchmark LRANGE)","297619.06","1.665","0.032","1.447","4.055","5.439","10.047"
"LRANGE_100 (first 100 elements)","139275.77","3.353","0.112","1.967","10.919","19.919","38.719"
"MSET (10 keys)","134048.27","3.718","0.120","3.055","9.127","13.311","20.191"
