"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","101729.40","0.323","0.008","0.247","0.767","1.567","7.807"
"PING_MBULK","100502.52","0.329","0.008","0.247","0.775","1.727","10.199"
"SET","105263.16","0.323","0.016","0.239","0.783","1.391","17.999"
"GET","105708.25","0.314","0.008","0.239","0.743","1.367","9.495"
"INCR","104821.80","0.328","0.008","0.239","0.799","1.791","9.951"
"LPUSH","104712.05","0.325","0.016","0.239","0.823","1.727","5.007"
"RPUSH","103199.18","0.322","0.016","0.239","0.783","1.503","19.599"
"LPOP","101522.84","0.337","0.008","0.247","0.855","1.599","9.151"
"RPOP","104058.27","0.329","0.016","0.239","0.847","1.447","10.847"
"SADD","93023.25","0.376","0.008","0.263","0.959","2.303","12.911"
"HSET","100200.40","0.338","0.008","0.247","0.823","1.727","6.631"
"SPOP","101010.10","0.319","0.016","0.247","0.743","1.543","17.247"
"LPUSH (needed to benchmark LRANGE)","102986.61","0.332","0.016","0.239","0.847","1.799","8.375"
"LRANGE_100 (first 100 elements)","70721.36","0.497","0.024","0.335","1.303","2.671","22.655"
"MSET (10 keys)","88888.89","0.470","0.016","0.295","1.383","2.895","17.343"
