test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,102669.410000,2328.870000,0.323000,0.008000,0.008000,0.000000,0.239000,0.008000,0.807000,0.072000,1.567000,0.080000,12.255000,6.472000
PING_MBULK,103519.660000,4429.280000,0.313000,0.017000,0.008000,0.000000,0.239000,0.008000,0.759000,0.032000,1.439000,0.392000,9.871000,1.680000
SET,103734.440000,2276.550000,0.323000,0.009000,0.016000,0.008000,0.239000,0.008000,0.783000,0.016000,1.415000,0.160000,17.999000,12.592000
GET,105708.250000,3051.540000,0.317000,0.017000,0.008000,0.000000,0.239000,0.000000,0.775000,0.096000,1.399000,0.304000,9.359000,2.112000
INCR,105263.160000,2015.810000,0.312000,0.021000,0.008000,0.008000,0.239000,0.000000,0.719000,0.088000,1.471000,0.432000,8.183000,3.752000
LPUSH,104712.050000,1418.040000,0.325000,0.022000,0.008000,0.008000,0.239000,0.000000,0.823000,0.096000,1.687000,0.360000,8.447000,6.528000
RPUSH,103199.180000,2309.830000,0.329000,0.017000,0.008000,0.008000,0.239000,0.000000,0.807000,0.088000,1.783000,0.288000,13.903000,9.440000
LPOP,102774.920000,3298.960000,0.328000,0.024000,0.008000,0.000000,0.239000,0.008000,0.823000,0.104000,1.599000,0.176000,9.151000,5.160000
RPOP,101626.020000,2535.430000,0.334000,0.015000,0.008000,0.008000,0.239000,0.008000,0.863000,0.048000,1.615000,0.320000,8.695000,2.264000
SADD,101936.800000,9857.410000,0.338000,0.045000,0.008000,0.000000,0.247000,0.024000,0.871000,0.136000,1.879000,0.776000,7.591000,5.560000
HSET,99601.600000,6391.770000,0.347000,0.044000,0.008000,0.008000,0.247000,0.008000,0.895000,0.144000,1.847000,0.896000,10.975000,7.936000
SPOP,101010.100000,1535.190000,0.330000,0.018000,0.016000,0.000000,0.247000,0.000000,0.831000,0.112000,1.543000,0.328000,12.935000,7.320000
LPUSH (needed to benchmark LRANGE),102986.610000,3416.000000,0.330000,0.018000,0.016000,0.008000,0.239000,0.008000,0.759000,0.104000,1.527000,0.464000,15.695000,9.000000
LRANGE_100 (first 100 elements),70721.360000,1478.690000,0.497000,0.033000,0.024000,0.008000,0.335000,0.008000,1.303000,0.144000,2.671000,0.464000,22.655000,2.448000
MSET (10 keys),90252.700000,1937.630000,0.470000,0.011000,0.016000,0.000000,0.295000,0.008000,1.383000,0.064000,2.895000,0.160000,17.343000,2.304000
