"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","1030927.81","0.303","0.032","0.255","0.607","1.127","10.991"
"PING_MBULK","1086956.50","0.293","0.024","0.239","0.607","1.079","6.455"
"SET","847457.62","0.571","0.032","0.263","2.167","5.479","9.751"
"GET","925925.88","0.483","0.032","0.327","1.223","4.007","5.143"
"INCR","813008.12","0.601","0.032","0.255","2.679","5.823","9.239"
"LPUSH","476190.50","1.038","0.032","1.127","1.487","2.287","5.215"
"RPUSH","490196.09","1.006","0.032","1.119","1.311","2.087","3.439"
"LPOP","549450.56","0.896","0.024","1.095","1.279","2.023","3.239"
"RPOP","558659.19","0.885","0.024","1.087","1.327","1.999","3.639"
"SADD","515463.91","0.952","0.032","1.103","1.391","2.159","3.263"
"HSET","497512.44","0.989","0.032","1.111","1.319","1.911","3.279"
"SPOP","518134.72","0.947","0.024","1.103","1.575","2.655","5.111"
"LPUSH (needed to benchmark LRANGE)","487804.88","1.011","0.024","1.127","1.431","2.167","4.247"
"LRANGE_100 (first 100 elements)","189035.92","1.949","0.128","1.191","5.679","12.407","20.735"
"MSET (10 keys)","255754.47","1.940","0.104","1.535","4.711","6.727","12.983"
