test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,101626.020000,17928.430000,0.255000,0.045000,0.040000,0.024000,0.263000,0.048000,0.319000,0.072000,0.375000,0.120000,1.583000,2.760000
PING_MBULK,110011.000000,7005.230000,0.239000,0.017000,0.024000,0.040000,0.223000,0.008000,0.303000,0.048000,0.399000,0.072000,3.911000,7.048000
SET,116686.120000,17295.620000,0.223000,0.038000,0.056000,0.048000,0.223000,0.048000,0.271000,0.048000,0.335000,0.040000,1.231000,0.584000
GET,116822.430000,2025.920000,0.222000,0.003000,0.032000,0.032000,0.223000,0.000000,0.279000,0.024000,0.335000,0.008000,1.527000,0.480000
INCR,114285.710000,3691.770000,0.227000,0.007000,0.032000,0.016000,0.223000,0.000000,0.295000,0.048000,0.335000,0.024000,1.535000,0.600000
LPUSH,117233.300000,3549.160000,0.222000,0.008000,0.032000,0.032000,0.223000,0.008000,0.263000,0.032000,0.335000,0.008000,1.327000,2.176000
RPUSH,116279.070000,2153.490000,0.223000,0.004000,0.032000,0.040000,0.223000,0.000000,0.279000,0.024000,0.335000,0.000000,1.183000,2.232000
LPOP,116686.120000,7812.920000,0.222000,0.015000,0.040000,0.040000,0.223000,0.008000,0.279000,0.048000,0.335000,0.016000,1.167000,0.256000
RPOP,114416.480000,4758.280000,0.227000,0.009000,0.048000,0.064000,0.223000,0.000000,0.287000,0.040000,0.335000,0.024000,0.935000,0.968000
SADD,113250.280000,18721.900000,0.229000,0.043000,0.072000,0.048000,0.223000,0.056000,0.295000,0.032000,0.343000,0.040000,1.375000,0.560000
HSET,114942.530000,2975.070000,0.226000,0.006000,0.016000,0.016000,0.223000,0.000000,0.279000,0.024000,0.343000,0.016000,1.903000,2.272000
SPOP,116144.020000,3150.510000,0.226000,0.007000,0.016000,0.008000,0.223000,0.008000,0.271000,0.032000,0.351000,0.032000,2.127000,5.336000
LPUSH (needed to benchmark LRANGE),117096.020000,4066.930000,0.222000,0.012000,0.016000,0.032000,0.223000,0.008000,0.263000,0.040000,0.335000,0.056000,1.623000,8.008000
LRANGE_100 (first 100 elements),79744.820000,2484.530000,0.338000,0.007000,0.024000,0.008000,0.319000,0.000000,0.423000,0.024000,0.855000,0.152000,11.087000,9.192000
MSET (10 keys),112485.940000,6808.270000,0.241000,0.015000,0.024000,0.008000,0.231000,0.008000,0.311000,0.032000,0.463000,0.072000,3.487000,1.664000
