"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","100000.00","0.367","0.024","0.239","0.983","3.631","5.143"
"PING_MBULK","90909.09","0.356","0.024","0.287","1.007","1.599","3.439"
"SET","124999.99","0.254","0.064","0.231","0.471","0.727","0.863"
"GET","111111.12","0.288","0.032","0.255","0.599","0.927","1.071"
"INCR","76923.08","0.427","0.024","0.279","1.463","1.919","2.903"
"LPUSH","100000.00","0.324","0.024","0.231","0.815","2.023","2.111"
"RPUSH","100000.00","0.345","0.024","0.255","0.847","1.247","2.623"
"LPOP","90909.09","0.318","0.056","0.295","0.535","0.807","0.927"
"RPOP","100000.00","0.300","0.016","0.263","0.575","0.943","1.311"
"SADD","111111.12","0.300","0.024","0.247","0.655","1.079","1.247"
"HSET","71428.57","0.600","0.016","0.335","1.767","3.759","3.911"
"SPOP","111111.12","0.251","0.056","0.231","0.415","0.535","0.743"
"LPUSH (needed to benchmark LRANGE)","90909.09","0.427","0.016","0.263","1.335","1.959","5.831"
"LRANGE_100 (first 100 elements)","71428.57","0.413","0.032","0.343","0.887","1.263","3.567"
"MSET (10 keys)","111111.12","0.370","0.024","0.279","0.959","1.695","3.103"
