"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","83125.52","0.412","0.016","0.271","1.095","3.471","24.239"
"PING_MBULK","84104.29","0.408","0.016","0.263","1.063","3.455","13.271"
"SET","83892.62","0.405","0.008","0.279","1.055","3.047","7.023"
"GET","81433.22","0.430","0.008","0.279","1.119","3.471","17.535"
"INCR","81566.07","0.459","0.008","0.279","1.375","3.623","12.327"
"LPUSH","85397.09","0.408","0.016","0.263","1.039","3.303","8.751"
"RPUSH","88339.23","0.382","0.016","0.263","0.935","2.751","10.447"
"LPOP","85178.88","0.389","0.008","0.271","1.007","3.143","10.031"
"RPOP","88028.16","0.380","0.016","0.263","0.911","2.791","9.479"
"SADD","88495.58","0.386","0.016","0.263","0.959","2.975","10.487"
"HSET","81234.77","0.427","0.008","0.287","1.095","3.303","11.191"
"SPOP","87950.75","0.381","0.016","0.271","0.959","2.711","11.615"
"LPUSH (needed to benchmark LRANGE)","88888.89","0.383","0.016","0.271","0.943","2.639","11.183"
"LRANGE_100 (first 100 elements)","60790.27","0.610","0.024","0.367","1.687","4.327","24.943"
"MSET (10 keys)","77579.52","0.513","0.016","0.303","1.511","4.023","26.223"
