"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","97943.19","0.279","0.016","0.239","0.359","1.159","5.471"
"PING_MBULK","101936.80","0.265","0.032","0.231","0.343","0.687","4.447"
"SET","94073.38","0.300","0.008","0.247","0.399","2.647","11.183"
"GET","96899.23","0.289","0.024","0.239","0.383","2.343","4.135"
"INCR","99108.03","0.283","0.024","0.239","0.359","2.215","4.407"
"LPUSH","100806.45","0.272","0.024","0.239","0.351","0.943","4.319"
"RPUSH","100300.91","0.274","0.032","0.239","0.359","1.295","4.159"
"LPOP","98135.42","0.279","0.024","0.239","0.359","0.983","4.183"
"RPOP","99900.09","0.275","0.016","0.239","0.359","1.503","4.479"
"SADD","96246.39","0.298","0.008","0.247","0.407","1.503","15.303"
"HSET","99304.87","0.276","0.024","0.247","0.367","0.911","4.623"
"SPOP","95693.78","0.294","0.016","0.247","0.391","1.807","4.215"
"LPUSH (needed to benchmark LRANGE)","96246.39","0.290","0.024","0.247","0.391","1.287","4.087"
"LRANGE_100 (first 100 elements)","67385.45","0.434","0.024","0.343","0.775","2.575","10.431"
"MSET (10 keys)","97276.27","0.296","0.024","0.247","0.407","1.431","8.671"
