"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","925925.88","0.304","0.080","0.263","0.471","0.679","4.199"
"PING_MBULK","952381.00","0.286","0.088","0.255","0.471","0.583","1.031"
"SET","819672.12","0.538","0.184","0.503","0.799","0.999","3.735"
"GET","854700.88","0.506","0.144","0.463","0.751","1.519","3.751"
"INCR","819672.12","0.519","0.208","0.463","0.751","1.231","4.311"
"LPUSH","1010101.00","0.340","0.088","0.295","0.599","0.799","1.375"
"RPUSH","1020408.19","0.308","0.128","0.255","0.591","0.751","0.991"
"LPOP","917431.19","0.471","0.064","0.423","0.655","1.127","3.327"
"RPOP","934579.44","0.427","0.168","0.399","0.663","1.079","2.735"
"SADD","833333.38","0.473","0.168","0.423","0.911","1.247","1.911"
"HSET","800000.00","0.558","0.200","0.511","0.927","1.087","3.079"
"SPOP","523560.22","0.831","0.112","0.759","1.839","3.607","4.999"
"LPUSH (needed to benchmark LRANGE)","892857.12","0.388","0.152","0.319","0.679","2.159","3.551"
"LRANGE_100 (first 100 elements)","191204.59","1.596","0.504","1.287","3.175","4.647","7.935"
"MSET (10 keys)","236966.83","1.981","0.528","1.927","3.119","4.415","5.823"
