"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","101729.40","0.260","0.040","0.231","0.367","0.479","4.079"
"PING_MBULK","102354.15","0.258","0.072","0.231","0.351","0.431","3.871"
"SET","101936.80","0.267","0.072","0.239","0.375","0.527","4.207"
"GET","100000.00","0.270","0.096","0.247","0.367","0.559","4.103"
"INCR","96899.23","0.280","0.064","0.255","0.383","0.535","5.783"
"LPUSH","99403.58","0.273","0.088","0.239","0.359","0.551","8.935"
"RPUSH","98425.20","0.274","0.072","0.247","0.383","0.535","4.359"
"LPOP","98619.32","0.275","0.064","0.247","0.351","0.487","4.351"
"RPOP","100908.17","0.273","0.080","0.239","0.391","0.575","4.423"
"SADD","101214.58","0.265","0.064","0.239","0.343","0.447","8.655"
"HSET","99304.87","0.271","0.064","0.247","0.375","0.471","10.863"
"SPOP","104058.27","0.267","0.104","0.239","0.391","0.559","4.063"
"LPUSH (needed to benchmark LRANGE)","108108.11","0.242","0.064","0.231","0.319","0.407","3.743"
"LRANGE_100 (first 100 elements)","70126.23","0.374","0.216","0.335","0.503","0.647","4.471"
"MSET (10 keys)","99206.34","0.386","0.144","0.367","0.607","0.743","4.199"
