test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,909090.940000,119047.620000,0.448000,0.079000,0.032000,0.016000,0.311000,0.048000,1.135000,0.288000,2.783000,1.176000,11.127000,0.872000
PING_MBULK,892857.120000,110979.570000,0.479000,0.027000,0.024000,0.008000,0.327000,0.024000,1.239000,0.064000,3.295000,1.416000,11.551000,4.872000
SET,662251.690000,69615.130000,0.741000,0.081000,0.040000,0.000000,0.335000,0.016000,3.167000,0.792000,6.895000,1.952000,11.599000,4.384000
GET,826446.310000,33884.500000,0.591000,0.033000,0.032000,0.008000,0.447000,0.024000,1.463000,0.096000,2.399000,0.112000,9.151000,8.416000
INCR,636942.620000,20683.430000,0.773000,0.024000,0.040000,0.008000,0.335000,0.048000,2.999000,0.384000,7.023000,0.480000,13.015000,1.840000
LPUSH,438596.500000,34905.940000,1.124000,0.098000,0.032000,0.000000,1.151000,0.032000,1.639000,0.232000,2.415000,0.552000,3.367000,0.488000
RPUSH,414937.750000,34024.560000,1.194000,0.092000,0.032000,0.008000,1.175000,0.032000,1.559000,0.280000,2.503000,0.976000,4.279000,0.984000
LPOP,458715.590000,4208.500000,1.077000,0.015000,0.032000,0.000000,1.135000,0.000000,1.439000,0.056000,2.175000,0.232000,3.687000,3.080000
RPOP,450450.440000,14143.120000,1.101000,0.035000,0.032000,0.000000,1.143000,0.008000,1.463000,0.112000,2.463000,0.752000,3.719000,2.056000
SADD,444444.470000,15948.970000,1.113000,0.038000,0.032000,0.000000,1.143000,0.016000,1.623000,0.112000,2.295000,0.312000,3.183000,1.288000
HSET,421940.940000,1772.880000,1.177000,0.004000,0.032000,0.000000,1.151000,0.016000,1.703000,0.096000,2.439000,0.128000,5.223000,1.512000
SPOP,429184.560000,28262.410000,1.154000,0.076000,0.024000,0.000000,1.151000,0.032000,1.839000,0.504000,3.391000,0.848000,7.055000,1.552000
LPUSH (needed to benchmark LRANGE),429184.560000,13178.180000,1.155000,0.032000,0.032000,0.000000,1.159000,0.008000,1.623000,0.240000,2.303000,0.464000,3.879000,3.720000
LRANGE_100 (first 100 elements),181488.200000,9541.280000,2.021000,0.027000,0.152000,0.040000,1.263000,0.040000,5.967000,0.320000,10.983000,2.480000,18.431000,1.104000
MSET (10 keys),239808.160000,16708.350000,2.071000,0.142000,0.104000,0.016000,1.703000,0.128000,5.055000,0.560000,7.015000,0.456000,12.775000,0.920000
