"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","909090.94","0.448","0.032","0.311","1.135","2.783","10.887"
"PING_MBULK","892857.12","0.504","0.024","0.335","1.303","3.295","11.551"
"SET","662251.69","0.741","0.040","0.335","3.167","5.511","9.015"
"GET","826446.31","0.591","0.032","0.455","1.463","2.343","8.575"
"INCR","632911.38","0.778","0.040","0.351","2.999","7.023","11.447"
"LPUSH","438596.50","1.124","0.032","1.151","1.639","2.415","3.143"
"RPUSH","406504.06","1.215","0.032","1.175","1.783","3.119","4.279"
"LPOP","458715.59","1.077","0.032","1.135","1.439","2.111","3.231"
"RPOP","456621.00","1.084","0.032","1.135","1.439","2.463","3.719"
"SADD","438596.50","1.130","0.032","1.151","1.639","2.463","4.271"
"HSET","420168.06","1.179","0.032","1.167","1.703","2.439","6.095"
"SPOP","420168.06","1.180","0.024","1.167","2.055","3.487","7.943"
"LPUSH (needed to benchmark LRANGE)","440528.62","1.127","0.032","1.159","1.623","2.303","3.223"
"LRANGE_100 (first 100 elements)","186219.73","2.021","0.152","1.223","5.911","12.511","18.303"
"MSET (10 keys)","227790.42","2.177","0.104","1.767","5.167","7.015","13.271"
