"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","116144.02","0.224","0.040","0.223","0.279","0.343","1.975"
"PING_MBULK","114025.09","0.228","0.024","0.223","0.295","0.351","2.079"
"SET","110741.97","0.235","0.032","0.231","0.311","0.359","1.351"
"GET","114416.48","0.228","0.016","0.223","0.287","0.367","3.735"
"INCR","111982.08","0.233","0.024","0.231","0.303","0.367","2.271"
"LPUSH","116279.07","0.225","0.016","0.223","0.287","0.375","2.031"
"RPUSH","114810.56","0.229","0.024","0.223","0.295","0.375","2.447"
"LPOP","117924.53","0.220","0.048","0.223","0.255","0.335","1.527"
"RPOP","116414.43","0.226","0.016","0.223","0.271","0.351","4.015"
"SADD","104166.67","0.264","0.016","0.239","0.375","0.959","4.807"
"HSET","113636.37","0.231","0.016","0.223","0.295","0.383","1.487"
"SPOP","112233.45","0.232","0.024","0.223","0.303","0.359","1.799"
"LPUSH (needed to benchmark LRANGE)","108577.63","0.239","0.040","0.231","0.303","0.359","1.583"
"LRANGE_100 (first 100 elements)","78678.20","0.337","0.032","0.319","0.431","0.623","4.791"
"MSET (10 keys)","111358.58","0.253","0.024","0.231","0.351","0.799","6.615"
