test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,116144.020000,18348.710000,0.224000,0.038000,0.040000,0.016000,0.223000,0.048000,0.279000,0.064000,0.343000,0.040000,1.823000,1.096000
PING_MBULK,115074.800000,2933.970000,0.225000,0.006000,0.032000,0.016000,0.223000,0.008000,0.287000,0.008000,0.343000,0.016000,1.287000,1.040000
SET,110741.970000,17578.090000,0.235000,0.040000,0.016000,0.016000,0.231000,0.048000,0.311000,0.048000,0.359000,0.032000,1.871000,4.336000
GET,114416.480000,20603.900000,0.228000,0.049000,0.032000,0.040000,0.223000,0.056000,0.287000,0.064000,0.367000,0.048000,1.791000,2.792000
INCR,111982.080000,11428.260000,0.233000,0.024000,0.024000,0.008000,0.231000,0.008000,0.303000,0.064000,0.367000,0.032000,2.431000,2.024000
LPUSH,116279.070000,10053.850000,0.225000,0.023000,0.016000,0.016000,0.223000,0.008000,0.287000,0.040000,0.375000,0.040000,2.031000,1.800000
RPUSH,116144.020000,2698.250000,0.225000,0.007000,0.024000,0.000000,0.223000,0.000000,0.263000,0.032000,0.343000,0.032000,2.447000,0.192000
LPOP,116009.280000,4930.180000,0.225000,0.010000,0.032000,0.032000,0.223000,0.000000,0.255000,0.048000,0.343000,0.032000,1.527000,2.480000
RPOP,113378.680000,3547.610000,0.231000,0.005000,0.024000,0.008000,0.223000,0.008000,0.287000,0.016000,0.351000,0.048000,4.015000,1.048000
SADD,108342.370000,11306.780000,0.242000,0.039000,0.016000,0.032000,0.231000,0.016000,0.335000,0.088000,0.423000,0.616000,3.543000,3.480000
HSET,113378.680000,3261.100000,0.231000,0.007000,0.016000,0.008000,0.231000,0.008000,0.295000,0.016000,0.383000,0.040000,2.055000,1.152000
SPOP,112233.450000,2607.410000,0.232000,0.007000,0.016000,0.008000,0.223000,0.008000,0.303000,0.016000,0.375000,0.048000,2.439000,2.960000
LPUSH (needed to benchmark LRANGE),112485.940000,6101.270000,0.232000,0.012000,0.040000,0.032000,0.231000,0.008000,0.295000,0.008000,0.359000,0.008000,1.583000,1.512000
LRANGE_100 (first 100 elements),77220.080000,3035.240000,0.349000,0.027000,0.032000,0.008000,0.327000,0.008000,0.447000,0.032000,0.983000,0.536000,8.287000,8.472000
MSET (10 keys),111358.580000,3056.360000,0.253000,0.008000,0.016000,0.008000,0.231000,0.008000,0.351000,0.016000,0.655000,0.152000,6.615000,2.408000
