test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,909090.940000,0.000000,0.483000,0.000000,0.032000,0.000000,0.327000,0.000000,1.255000,0.000000,1.783000,0.000000,3.231000,0.000000
PING_MBULK,1000000.000000,0.000000,0.277000,0.000000,0.088000,0.000000,0.255000,0.000000,0.439000,0.000000,0.679000,0.000000,0.975000,0.000000
SET,769230.750000,0.000000,0.620000,0.000000,0.032000,0.000000,0.335000,0.000000,2.463000,0.000000,4.279000,0.000000,5.823000,0.000000
GET,833333.310000,0.000000,0.550000,0.000000,0.024000,0.000000,0.383000,0.000000,1.503000,0.000000,3.855000,0.000000,5.031000,0.000000
INCR,714285.690000,0.000000,0.645000,0.000000,0.032000,0.000000,0.335000,0.000000,2.903000,0.000000,4.559000,0.000000,6.479000,0.000000
LPUSH,476190.470000,0.000000,1.032000,0.000000,0.032000,0.000000,1.127000,0.000000,1.447000,0.000000,2.463000,0.000000,2.727000,0.000000
RPUSH,476190.470000,0.000000,1.048000,0.000000,0.032000,0.000000,1.135000,0.000000,1.367000,0.000000,1.455000,0.000000,2.431000,0.000000
LPOP,476190.470000,0.000000,0.988000,0.000000,0.032000,0.000000,1.119000,0.000000,1.375000,0.000000,2.191000,0.000000,2.695000,0.000000
RPOP,476190.470000,0.000000,1.004000,0.000000,0.032000,0.000000,1.111000,0.000000,1.391000,0.000000,2.191000,0.000000,3.071000,0.000000
SADD,384615.380000,0.000000,1.220000,0.000000,0.032000,0.000000,1.143000,0.000000,2.287000,0.000000,4.919000,0.000000,5.255000,0.000000
HSET,434782.590000,0.000000,1.082000,0.000000,0.040000,0.000000,1.135000,0.000000,1.447000,0.000000,1.551000,0.000000,2.463000,0.000000
SPOP,416666.660000,0.000000,1.153000,0.000000,0.032000,0.000000,1.199000,0.000000,1.431000,0.000000,1.471000,0.000000,2.607000,0.000000
LPUSH (needed to benchmark LRANGE),476190.470000,0.000000,0.993000,0.000000,0.032000,0.000000,1.119000,0.000000,1.335000,0.000000,1.375000,0.000000,2.295000,0.000000
LRANGE_100 (first 100 elements),188679.250000,0.000000,2.037000,0.000000,0.128000,0.000000,1.231000,0.000000,6.287000,0.000000,8.415000,0.000000,10.839000,0.000000
MSET (10 keys),238095.230000,0.000000,2.023000,0.000000,0.136000,0.000000,1.727000,0.000000,4.655000,0.000000,6.839000,0.000000,8.575000,0.000000
