"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","909090.94","0.483","0.032","0.327","1.255","1.783","3.231"
"PING_MBULK","1000000.00","0.277","0.088","0.255","0.439","0.679","0.975"
"SET","769230.75","0.620","0.032","0.335","2.463","4.279","5.823"
"GET","833333.31","0.550","0.024","0.383","1.503","3.855","5.031"
"INCR","714285.69","0.645","0.032","0.335","2.903","4.559","6.479"
"LPUSH","476190.47","1.032","0.032","1.127","1.447","2.463","2.727"
"RPUSH","476190.47","1.048","0.032","1.135","1.367","1.455","2.431"
"LPOP","476190.47","0.988","0.032","1.119","1.375","2.191","2.695"
"RPOP","476190.47","1.004","0.032","1.111","1.391","2.191","3.071"
"SADD","384615.38","1.220","0.032","1.143","2.287","4.919","5.255"
"HSET","434782.59","1.082","0.040","1.135","1.447","1.551","2.463"
"SPOP","416666.66","1.153","0.032","1.199","1.431","1.471","2.607"
"LPUSH (needed to benchmark LRANGE)","476190.47","0.993","0.032","1.119","1.335","1.375","2.295"
"LRANGE_100 (first 100 elements)","188679.25","2.037","0.128","1.231","6.287","8.415","10.839"
"MSET (10 keys)","238095.23","2.023","0.136","1.727","4.655","6.839","8.575"
