"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","116279.06","0.226","0.024","0.215","0.287","0.399","1.751"
"PING_MBULK","113636.37","0.226","0.072","0.223","0.295","0.383","0.519"
"SET","112359.55","0.230","0.056","0.231","0.311","0.359","0.767"
"GET","113636.37","0.229","0.080","0.223","0.303","0.359","0.815"
"INCR","113636.37","0.229","0.056","0.223","0.295","0.375","0.927"
"LPUSH","114942.53","0.230","0.048","0.223","0.311","0.407","0.823"
"RPUSH","113636.37","0.230","0.056","0.231","0.303","0.351","0.623"
"LPOP","114942.53","0.226","0.048","0.223","0.295","0.423","1.079"
"RPOP","119047.62","0.215","0.056","0.215","0.263","0.311","0.431"
"SADD","116279.06","0.222","0.040","0.223","0.271","0.351","0.783"
"HSET","117647.05","0.219","0.056","0.223","0.271","0.335","0.871"
"SPOP","119047.62","0.217","0.064","0.215","0.263","0.319","0.671"
"LPUSH (needed to benchmark LRANGE)","109890.11","0.249","0.016","0.223","0.367","0.823","1.375"
"LRANGE_100 (first 100 elements)","78740.16","0.332","0.112","0.319","0.463","0.527","1.719"
"MSET (10 keys)","108695.65","0.251","0.024","0.231","0.343","0.751","1.991"
