test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,116279.060000,0.000000,0.226000,0.000000,0.024000,0.000000,0.215000,0.000000,0.287000,0.000000,0.399000,0.000000,1.751000,0.000000
PING_MBULK,113636.370000,0.000000,0.226000,0.000000,0.072000,0.000000,0.223000,0.000000,0.295000,0.000000,0.383000,0.000000,0.519000,0.000000
SET,112359.550000,0.000000,0.230000,0.000000,0.056000,0.000000,0.231000,0.000000,0.311000,0.000000,0.359000,0.000000,0.767000,0.000000
GET,113636.370000,0.000000,0.229000,0.000000,0.080000,0.000000,0.223000,0.000000,0.303000,0.000000,0.359000,0.000000,0.815000,0.000000
INCR,113636.370000,0.000000,0.229000,0.000000,0.056000,0.000000,0.223000,0.000000,0.295000,0.000000,0.375000,0.000000,0.927000,0.000000
LPUSH,114942.530000,0.000000,0.230000,0.000000,0.048000,0.000000,0.223000,0.000000,0.311000,0.000000,0.407000,0.000000,0.823000,0.000000
RPUSH,113636.370000,0.000000,0.230000,0.000000,0.056000,0.000000,0.231000,0.000000,0.303000,0.000000,0.351000,0.000000,0.623000,0.000000
LPOP,114942.530000,0.000000,0.226000,0.000000,0.048000,0.000000,0.223000,0.000000,0.295000,0.000000,0.423000,0.000000,1.079000,0.000000
RPOP,119047.620000,0.000000,0.215000,0.000000,0.056000,0.000000,0.215000,0.000000,0.263000,0.000000,0.311000,0.000000,0.431000,0.000000
SADD,116279.060000,0.000000,0.222000,0.000000,0.040000,0.000000,0.223000,0.000000,0.271000,0.000000,0.351000,0.000000,0.783000,0.000000
HSET,117647.050000,0.000000,0.219000,0.000000,0.056000,0.000000,0.223000,0.000000,0.271000,0.000000,0.335000,0.000000,0.871000,0.000000
SPOP,119047.620000,0.000000,0.217000,0.000000,0.064000,0.000000,0.215000,0.000000,0.263000,0.000000,0.319000,0.000000,0.671000,0.000000
LPUSH (needed to benchmark LRANGE),109890.110000,0.000000,0.249000,0.000000,0.016000,0.000000,0.223000,0.000000,0.367000,0.000000,0.823000,0.000000,1.375000,0.000000
LRANGE_100 (first 100 elements),78740.160000,0.000000,0.332000,0.000000,0.112000,0.000000,0.319000,0.000000,0.463000,0.000000,0.527000,0.000000,1.719000,0.000000
MSET (10 keys),108695.650000,0.000000,0.251000,0.000000,0.024000,0.000000,0.231000,0.000000,0.343000,0.000000,0.751000,0.000000,1.991000,0.000000
