test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,1111111.120000,0.000000,0.270000,0.000000,0.096000,0.000000,0.247000,0.000000,0.479000,0.000000,0.639000,0.000000,1.639000,0.000000
PING_MBULK,1000000.000000,0.000000,0.365000,0.000000,0.024000,0.000000,0.271000,0.000000,0.967000,0.000000,1.351000,0.000000,4.079000,0.000000
SET,769230.750000,0.000000,0.617000,0.000000,0.032000,0.000000,0.319000,0.000000,2.575000,0.000000,3.887000,0.000000,5.791000,0.000000
GET,1000000.000000,0.000000,0.390000,0.000000,0.024000,0.000000,0.263000,0.000000,0.919000,0.000000,3.527000,0.000000,4.663000,0.000000
INCR,714285.690000,0.000000,0.671000,0.000000,0.032000,0.000000,0.367000,0.000000,2.519000,0.000000,3.647000,0.000000,4.783000,0.000000
LPUSH,500000.000000,0.000000,0.942000,0.000000,0.032000,0.000000,1.111000,0.000000,1.599000,0.000000,1.999000,0.000000,2.375000,0.000000
RPUSH,476190.470000,0.000000,1.013000,0.000000,0.032000,0.000000,1.127000,0.000000,1.591000,0.000000,1.719000,0.000000,2.679000,0.000000
LPOP,500000.000000,0.000000,0.979000,0.000000,0.032000,0.000000,1.119000,0.000000,1.583000,0.000000,2.207000,0.000000,3.103000,0.000000
RPOP,476190.470000,0.000000,1.020000,0.000000,0.032000,0.000000,1.135000,0.000000,1.623000,0.000000,2.103000,0.000000,3.223000,0.000000
SADD,500000.000000,0.000000,0.982000,0.000000,0.032000,0.000000,1.119000,0.000000,1.487000,0.000000,2.007000,0.000000,3.135000,0.000000
HSET,454545.470000,0.000000,1.073000,0.000000,0.032000,0.000000,1.151000,0.000000,1.455000,0.000000,1.727000,0.000000,2.647000,0.000000
SPOP,476190.470000,0.000000,0.993000,0.000000,0.032000,0.000000,1.127000,0.000000,1.343000,0.000000,1.463000,0.000000,2.303000,0.000000
LPUSH (needed to benchmark LRANGE),500000.000000,0.000000,0.938000,0.000000,0.032000,0.000000,1.103000,0.000000,1.335000,0.000000,1.543000,0.000000,2.287000,0.000000
LRANGE_100 (first 100 elements),188679.250000,0.000000,1.962000,0.000000,0.184000,0.000000,1.207000,0.000000,5.831000,0.000000,7.951000,0.000000,8.783000,0.000000
MSET (10 keys),250000.000000,0.000000,1.960000,0.000000,0.144000,0.000000,1.615000,0.000000,4.383000,0.000000,6.295000,0.000000,9.479000,0.000000
