test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,116279.060000,0.000000,0.223000,0.000000,0.032000,0.000000,0.223000,0.000000,0.279000,0.000000,0.367000,0.000000,0.775000,0.000000
PING_MBULK,114942.530000,0.000000,0.225000,0.000000,0.048000,0.000000,0.223000,0.000000,0.295000,0.000000,0.391000,0.000000,0.943000,0.000000
SET,117647.050000,0.000000,0.222000,0.000000,0.072000,0.000000,0.215000,0.000000,0.287000,0.000000,0.407000,0.000000,0.911000,0.000000
GET,116279.060000,0.000000,0.228000,0.000000,0.072000,0.000000,0.215000,0.000000,0.287000,0.000000,0.487000,0.000000,1.631000,0.000000
INCR,103092.780000,0.000000,0.252000,0.000000,0.064000,0.000000,0.255000,0.000000,0.327000,0.000000,0.399000,0.000000,0.831000,0.000000
LPUSH,107526.880000,0.000000,0.241000,0.000000,0.064000,0.000000,0.231000,0.000000,0.335000,0.000000,0.375000,0.000000,0.527000,0.000000
RPUSH,111111.110000,0.000000,0.232000,0.000000,0.072000,0.000000,0.231000,0.000000,0.311000,0.000000,0.359000,0.000000,0.479000,0.000000
LPOP,116279.060000,0.000000,0.224000,0.000000,0.056000,0.000000,0.223000,0.000000,0.287000,0.000000,0.367000,0.000000,0.463000,0.000000
RPOP,116279.060000,0.000000,0.223000,0.000000,0.072000,0.000000,0.223000,0.000000,0.287000,0.000000,0.335000,0.000000,0.599000,0.000000
SADD,116279.060000,0.000000,0.227000,0.000000,0.032000,0.000000,0.223000,0.000000,0.287000,0.000000,0.391000,0.000000,0.975000,0.000000
HSET,112359.550000,0.000000,0.230000,0.000000,0.032000,0.000000,0.231000,0.000000,0.295000,0.000000,0.375000,0.000000,0.743000,0.000000
SPOP,113636.370000,0.000000,0.231000,0.000000,0.056000,0.000000,0.223000,0.000000,0.279000,0.000000,0.527000,0.000000,1.359000,0.000000
LPUSH (needed to benchmark LRANGE),111111.110000,0.000000,0.232000,0.000000,0.048000,0.000000,0.231000,0.000000,0.319000,0.000000,0.359000,0.000000,0.503000,0.000000
LRANGE_100 (first 100 elements),78740.160000,0.000000,0.339000,0.000000,0.040000,0.000000,0.327000,0.000000,0.407000,0.000000,0.871000,0.000000,4.511000,0.000000
MSET (10 keys),109890.110000,0.000000,0.266000,0.000000,0.024000,0.000000,0.231000,0.000000,0.391000,0.000000,0.903000,0.000000,6.047000,0.000000
