"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","109890.11","0.239","0.016","0.231","0.319","0.423","5.007"
"PING_MBULK","106951.88","0.251","0.016","0.239","0.351","0.599","5.447"
"SET","106951.88","0.248","0.016","0.239","0.327","0.455","3.599"
"GET","109051.26","0.245","0.008","0.231","0.319","0.591","5.615"
"INCR","112485.94","0.235","0.016","0.231","0.295","0.463","2.087"
"LPUSH","111234.70","0.248","0.016","0.231","0.335","0.847","6.783"
"RPUSH","111607.14","0.240","0.016","0.231","0.311","0.527","5.911"
"LPOP","112107.62","0.235","0.016","0.231","0.295","0.399","6.527"
"RPOP","110375.27","0.239","0.016","0.231","0.311","0.415","4.015"
"SADD","111856.82","0.236","0.024","0.231","0.303","0.431","4.111"
"HSET","106723.59","0.250","0.016","0.239","0.327","0.519","3.711"
"SPOP","111111.12","0.242","0.016","0.231","0.311","0.823","4.279"
"LPUSH (needed to benchmark LRANGE)","111482.72","0.238","0.016","0.231","0.311","0.463","4.199"
"LRANGE_100 (first 100 elements)","73855.24","0.384","0.024","0.335","0.591","1.383","8.367"
"MSET (10 keys)","108577.63","0.283","0.016","0.231","0.599","1.399","13.775"
