"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","961538.44","0.330","0.024","0.255","0.799","1.391","4.999"
"PING_MBULK","970873.81","0.362","0.016","0.255","0.831","1.415","12.743"
"SET","662251.69","0.729","0.024","0.407","2.463","4.471","8.383"
"GET","806451.62","0.553","0.024","0.351","1.367","4.607","19.311"
"INCR","613496.94","0.802","0.032","0.463","2.751","4.887","8.167"
"LPUSH","505050.50","0.980","0.024","1.071","2.079","4.071","7.039"
"RPUSH","502512.56","0.985","0.024","1.079","1.695","2.783","3.871"
"LPOP","537634.38","0.920","0.024","1.063","1.703","2.439","5.303"
"RPOP","534759.31","0.921","0.024","1.063","1.631","2.279","3.455"
"SADD","495049.50","0.996","0.024","1.087","1.751","2.615","5.151"
"HSET","456621.00","1.075","0.024","1.103","2.055","2.999","5.615"
"SPOP","505050.50","0.975","0.016","1.063","2.039","3.847","14.999"
"LPUSH (needed to benchmark LRANGE)","460829.50","1.070","0.024","1.079","2.639","4.567","8.399"
"LRANGE_100 (first 100 elements)","160256.41","2.689","0.128","1.511","8.551","15.767","24.559"
"MSET (10 keys)","177304.97","2.804","0.104","2.303","6.751","9.591","21.055"
