"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","110497.24","0.239","0.024","0.231","0.319","0.479","2.239"
"PING_MBULK","109409.20","0.240","0.016","0.231","0.319","0.415","4.159"
"SET","112739.57","0.235","0.016","0.231","0.303","0.423","3.847"
"GET","110741.97","0.239","0.016","0.231","0.311","0.447","3.751"
"INCR","110619.47","0.239","0.016","0.231","0.311","0.431","3.855"
"LPUSH","114285.71","0.233","0.016","0.223","0.287","0.487","5.095"
"RPUSH","114942.53","0.231","0.008","0.223","0.295","0.431","4.359"
"LPOP","115207.38","0.230","0.024","0.223","0.287","0.455","4.215"
"RPOP","111482.72","0.235","0.016","0.231","0.303","0.391","4.495"
"SADD","110864.74","0.240","0.016","0.231","0.311","0.487","4.071"
"HSET","107526.88","0.248","0.016","0.231","0.335","0.519","4.127"
"SPOP","109170.30","0.244","0.016","0.231","0.327","0.559","4.247"
"LPUSH (needed to benchmark LRANGE)","113250.28","0.233","0.016","0.223","0.303","0.415","3.719"
"LRANGE_100 (first 100 elements)","76219.51","0.375","0.024","0.327","0.607","1.439","10.223"
"MSET (10 keys)","104821.80","0.301","0.016","0.247","0.695","1.487","9.295"
