"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","877193.00","0.407","0.024","0.263","1.087","1.903","12.127"
"PING_MBULK","943396.25","0.356","0.024","0.271","0.887","1.527","10.087"
"SET","584795.31","0.835","0.032","0.543","2.503","4.919","8.543"
"GET","813008.12","0.508","0.024","0.319","1.367","4.127","13.191"
"INCR","571428.56","0.860","0.024","0.455","2.959","5.407","14.631"
"LPUSH","490196.09","1.006","0.024","1.079","1.983","4.351","6.991"
"RPUSH","448430.47","1.098","0.024","1.111","1.911","3.799","5.887"
"LPOP","523560.22","0.941","0.024","1.071","1.655","2.263","4.687"
"RPOP","512820.53","0.963","0.024","1.071","1.783","2.615","3.775"
"SADD","444444.47","1.106","0.024","1.111","2.231","3.495","6.503"
"HSET","440528.62","1.121","0.032","1.135","1.999","3.111","5.663"
"SPOP","487804.88","1.002","0.024","1.095","2.231","3.687","6.175"
"LPUSH (needed to benchmark LRANGE)","537634.38","0.913","0.024","1.071","1.543","2.527","5.623"
"LRANGE_100 (first 100 elements)","155763.23","2.695","0.120","1.383","9.087","16.959","33.567"
"MSET (10 keys)","165562.92","3.008","0.112","2.463","7.287","10.935","22.767"
