File: gocache
Build ID: 7d6f7b0401669da96be43c8951fce4eda2e07b01
Type: inuse_space
Time: 2026-06-09 16:10:46 UTC
Showing nodes accounting for 53.91MB, 53.07% of 101.59MB total
Dropped 25 nodes (cum <= 0.51MB)
Showing top 30 nodes out of 97
      flat  flat%   sum%        cum   cum%
    1.50MB  1.48%  1.48%    42.54MB 41.87%  gocache/pkg/server.(*Server).handleConnection
         0     0%  1.48%    42.01MB 41.36%  main.main
         0     0%  1.48%    42.01MB 41.36%  runtime.main
         0     0%  1.48%    32.06MB 31.56%  gocache/pkg/cache/slab.(*slabClass).alloc
         0     0%  1.48%    32.06MB 31.56%  gocache/pkg/cache/slab.(*slabClass).growOneSlab
   32.06MB 31.56% 33.04%    32.06MB 31.56%  gocache/pkg/cache/slab.newSlab (inline)
         0     0% 33.04%    30.40MB 29.93%  gocache/pkg/cache.NewWithShards
         0     0% 33.04%    30.40MB 29.93%  gocache/pkg/cache.newCache
    0.50MB  0.49% 33.53%    30.40MB 29.93%  gocache/pkg/cache.newShard (inline)
         0     0% 33.53%    29.90MB 29.43%  gocache/pkg/cache/slab.NewAllocatorWithTargetBytes
       1MB  0.98% 34.51%    24.01MB 23.63%  gocache/pkg/pipeline.(*Pipeline).evaluateCore
         0     0% 34.51%       20MB 19.69%  gocache/pkg/pipeline.(*Pipeline).Evaluate (inline)
         0     0% 34.51%       20MB 19.69%  gocache/pkg/command.Dispatch
         0     0% 34.51%       20MB 19.69%  gocache/pkg/command.Dispatch.wrapWithEmission.func1
   13.34MB 13.13% 47.65%       16MB 15.75%  gocache/pkg/cache.(*Shard).setPackedInternal
         0     0% 47.65%       16MB 15.75%  gocache/pkg/engine.(*Engine).DispatchToShard
    0.50MB  0.49% 48.14%    15.50MB 15.26%  gocache/commons/observability.(*SlotOperationTrackerManager).DrainCompletedShard
         0     0% 48.14%    15.50MB 15.26%  gocache/pkg/server.(*OperationTrackerDrainWorker).Start.func1
         0     0% 48.14%    15.50MB 15.26%  gocache/pkg/server.(*OperationTrackerDrainWorker).drainUntilEmpty
         0     0% 48.14%    15.01MB 14.77%  gocache/commons/resp.(*Reader).Read
    5.01MB  4.93% 53.07%    15.01MB 14.77%  gocache/commons/resp.(*Reader).readArray
         0     0% 53.07%       15MB 14.77%  gocache/pkg/server.(*OperationTrackerDrainWorker).projectCompletedOperation
         0     0% 53.07%    13.34MB 13.13%  gocache/pkg/cache.(*Cache).RawSet
         0     0% 53.07%    13.34MB 13.13%  gocache/pkg/cache.(*Shard).rawSet
         0     0% 53.07%    13.34MB 13.13%  gocache/pkg/cache.(*Shard).setInternal
         0     0% 53.07%    13.34MB 13.13%  gocache/pkg/resp/handler.HandleIncr
         0     0% 53.07%    13.34MB 13.13%  gocache/pkg/resp/handler.HandleIncr.func1
         0     0% 53.07%    13.34MB 13.13%  gocache/pkg/resp/handler.incrByDelta
         0     0% 53.07%    10.44MB 10.27%  gocache/commons/observability.(*operationSlotShard).addSegmentLocked
         0     0% 53.07%    10.44MB 10.27%  gocache/commons/observability.(*operationSlotShard).init
