File: gocache
Build ID: 7d6f7b0401669da96be43c8951fce4eda2e07b01
Type: alloc_objects
Time: 2026-06-09 16:02:36 UTC
Showing nodes accounting for 29447299, 35.73% of 82409861 total
Dropped 143 nodes (cum <= 412049)
Showing top 20 nodes out of 63
      flat  flat%   sum%        cum   cum%
         0     0%     0%   70330804 85.34%  gocache/pkg/server.(*OperationTrackerDrainWorker).Start.func1
    955075  1.16%  1.16%   68704767 83.37%  gocache/commons/observability.(*SlotOperationTrackerManager).DrainCompletedShard
         0     0%  1.16%   68704312 83.37%  gocache/pkg/server.(*OperationTrackerDrainWorker).drainUntilEmpty
         0     0%  1.16%   67749692 82.21%  gocache/pkg/server.(*OperationTrackerDrainWorker).projectCompletedOperation
         0     0%  1.16%   35548368 43.14%  gocache/pkg/events.(*Bus).Emit
         0     0%  1.16%   35548368 43.14%  gocache/pkg/events.(*ring).push
         0     0%  1.16%   35548368 43.14%  gocache/pkg/events.cloneEvent
         0     0%  1.16%   35548368 43.14%  google.golang.org/protobuf/proto.Clone
         0     0%  1.16%   33713194 40.91%  google.golang.org/protobuf/proto.mergeOptions.mergeMessage
         0     0%  1.16%   33712739 40.91%  google.golang.org/protobuf/internal/impl.(*MessageInfo).initOneofFieldCoders.func5
         0     0%  1.16%   33712739 40.91%  google.golang.org/protobuf/internal/impl.(*MessageInfo).merge
         0     0%  1.16%   33712739 40.91%  google.golang.org/protobuf/internal/impl.(*MessageInfo).mergePointer
   1081360  1.31%  2.47%   32007636 38.84%  gocache/pkg/server.materializeOperationFinishedRecord
         0     0%  2.47%   31615571 38.36%  google.golang.org/protobuf/internal/impl.mergeMessage
         0     0%  2.47%   29877317 36.25%  google.golang.org/protobuf/internal/impl.mergeMap
    917518  1.11%  3.58%   26226933 31.82%  gocache/pkg/server.materializeOperationStartedRecord
  25493893 30.94% 34.52%   25493893 30.94%  reflect.copyVal
         0     0% 34.52%   13172937 15.98%  reflect.(*MapIter).Key
         0     0% 34.52%   12320956 14.95%  reflect.(*MapIter).Value
    999453  1.21% 35.73%   11957382 14.51%  gocache/pkg/server.(*Server).handleConnection
