"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","1162790.62","0.233","0.072","0.215","0.335","0.463","0.679"
"PING_MBULK","1176470.62","0.222","0.080","0.215","0.279","0.359","0.447"
"SET","952381.00","0.470","0.168","0.447","0.687","0.847","1.111"
"GET","1123595.50","0.373","0.128","0.359","0.551","0.671","0.903"
"INCR","1063829.88","0.409","0.152","0.391","0.599","0.727","1.071"
"LPUSH","1123595.50","0.380","0.152","0.367","0.543","0.655","1.039"
"RPUSH","1204819.38","0.311","0.128","0.303","0.463","0.527","0.727"
"LPOP","1052631.62","0.422","0.168","0.399","0.583","0.743","1.055"
"RPOP","1136363.62","0.375","0.144","0.367","0.527","0.703","1.159"
"SADD","1075268.75","0.383","0.144","0.359","0.607","0.847","1.631"
"HSET","1020408.19","0.422","0.168","0.407","0.615","0.751","1.103"
"SPOP","645161.31","0.671","0.064","0.647","1.447","1.831","2.239"
"LPUSH (needed to benchmark LRANGE)","1052631.62","0.364","0.144","0.351","0.543","0.647","0.871"
"LRANGE_100 (first 100 elements)","242130.77","1.055","0.400","1.031","1.247","1.711","2.623"
"MSET (10 keys)","369003.69","1.250","0.472","1.255","1.631","2.015","2.847"
