"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","122699.39","0.211","0.112","0.199","0.279","0.327","1.167"
"PING_MBULK","118203.30","0.218","0.072","0.207","0.287","0.327","0.511"
"SET","122399.02","0.213","0.048","0.207","0.279","0.327","0.551"
"GET","118906.06","0.217","0.064","0.207","0.279","0.335","1.239"
"INCR","123304.56","0.212","0.072","0.207","0.279","0.343","1.575"
"LPUSH","118764.84","0.220","0.072","0.207","0.287","0.343","8.791"
"RPUSH","114810.56","0.226","0.056","0.215","0.287","0.335","0.655"
"LPOP","123304.56","0.210","0.072","0.207","0.255","0.311","0.487"
"RPOP","125000.00","0.208","0.064","0.207","0.255","0.319","0.431"
"SADD","123915.74","0.211","0.056","0.207","0.231","0.303","8.743"
"HSET","115874.86","0.226","0.056","0.207","0.279","0.335","8.943"
"SPOP","116686.12","0.229","0.056","0.207","0.319","0.447","0.903"
"LPUSH (needed to benchmark LRANGE)","115473.45","0.224","0.064","0.215","0.287","0.327","0.591"
"LRANGE_100 (first 100 elements)","81699.35","0.313","0.144","0.303","0.383","0.431","0.639"
"MSET (10 keys)","120336.95","0.233","0.056","0.215","0.327","0.415","0.679"
