"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","121506.68","0.216","0.024","0.207","0.279","0.367","4.095"
"PING_MBULK","116686.12","0.225","0.016","0.215","0.311","0.431","2.655"
"SET","117924.53","0.220","0.056","0.215","0.295","0.343","1.039"
"GET","111607.14","0.235","0.016","0.223","0.311","0.391","2.463"
"INCR","114025.09","0.228","0.032","0.223","0.311","0.367","1.367"
"LPUSH","109890.11","0.239","0.024","0.231","0.311","0.383","3.183"
"RPUSH","109051.26","0.239","0.016","0.231","0.303","0.367","3.119"
"LPOP","107642.62","0.244","0.016","0.231","0.327","0.399","6.663"
"RPOP","107296.14","0.243","0.016","0.239","0.311","0.367","2.703"
"SADD","108577.63","0.241","0.016","0.231","0.319","0.383","2.199"
"HSET","113636.37","0.232","0.024","0.223","0.303","0.399","2.895"
"SPOP","116279.07","0.227","0.016","0.223","0.279","0.367","2.543"
"LPUSH (needed to benchmark LRANGE)","109890.11","0.239","0.016","0.231","0.319","0.391","2.775"
"LRANGE_100 (first 100 elements)","75930.14","0.359","0.024","0.327","0.471","1.063","6.527"
"MSET (10 keys)","98522.17","0.283","0.016","0.279","0.383","0.807","5.983"
