"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","106157.12","0.244","0.056","0.239","0.319","0.367","1.375"
"PING_MBULK","112612.61","0.230","0.048","0.223","0.295","0.351","0.823"
"SET","110987.79","0.234","0.016","0.231","0.303","0.359","1.671"
"GET","96246.39","0.271","0.016","0.279","0.327","0.391","1.671"
"INCR","110253.59","0.236","0.056","0.231","0.311","0.359","1.583"
"LPUSH","112739.57","0.232","0.024","0.231","0.295","0.359","2.263"
"RPUSH","111358.58","0.236","0.032","0.231","0.303","0.367","2.279"
"LPOP","106269.93","0.246","0.016","0.231","0.335","0.447","3.455"
"RPOP","113122.17","0.230","0.032","0.231","0.295","0.359","1.503"
"SADD","110497.24","0.236","0.048","0.231","0.311","0.367","2.111"
"HSET","108459.87","0.241","0.024","0.231","0.327","0.391","1.855"
"SPOP","114547.53","0.229","0.016","0.223","0.279","0.359","3.087"
"LPUSH (needed to benchmark LRANGE)","109890.11","0.238","0.016","0.231","0.319","0.407","2.119"
"LRANGE_100 (first 100 elements)","71479.62","0.370","0.032","0.343","0.487","0.743","6.535"
"MSET (10 keys)","107642.62","0.260","0.016","0.239","0.359","0.711","5.471"
