"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","813008.12","0.482","0.016","0.351","1.271","3.047","6.895"
"PING_MBULK","900900.88","0.449","0.024","0.319","1.151","1.927","10.007"
"SET","925925.88","0.454","0.024","0.295","1.503","3.015","6.111"
"GET","1041666.69","0.319","0.024","0.255","0.743","1.319","2.839"
"INCR","925925.88","0.466","0.024","0.287","1.671","3.303","7.471"
"LPUSH","729927.06","0.670","0.024","0.255","2.111","3.039","6.295"
"RPUSH","704225.31","0.699","0.024","1.015","1.543","2.711","4.887"
"LPOP","806451.62","0.607","0.024","0.231","1.599","2.727","8.455"
"RPOP","793650.75","0.617","0.024","0.295","1.479","2.559","8.319"
"SADD","719424.44","0.682","0.024","0.983","1.527","2.167","4.047"
"HSET","666666.62","0.741","0.024","1.015","1.943","2.711","9.071"
"SPOP","724637.69","0.612","0.024","0.287","1.143","2.439","6.087"
"LPUSH (needed to benchmark LRANGE)","775193.81","0.634","0.024","0.967","1.455","2.055","3.951"
"LRANGE_100 (first 100 elements)","186567.16","1.920","0.200","1.207","5.879","9.823","24.591"
"MSET (10 keys)","218818.39","2.271","0.112","1.791","5.583","7.607","15.543"
