"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","105374.08","0.247","0.024","0.239","0.335","0.431","3.959"
"PING_MBULK","100200.40","0.265","0.008","0.247","0.359","0.599","2.071"
"SET","99206.34","0.262","0.032","0.263","0.335","0.399","2.407"
"GET","104712.05","0.251","0.016","0.239","0.343","0.439","3.975"
"INCR","105932.20","0.247","0.024","0.239","0.335","0.407","4.231"
"LPUSH","99800.40","0.265","0.024","0.255","0.351","0.495","3.575"
"RPUSH","101317.12","0.262","0.016","0.247","0.343","0.535","3.071"
"LPOP","104058.27","0.259","0.016","0.239","0.343","0.831","4.967"
"RPOP","95602.30","0.274","0.032","0.271","0.343","0.407","3.871"
"SADD","105708.25","0.247","0.024","0.239","0.335","0.423","4.207"
"HSET","107642.62","0.243","0.024","0.239","0.327","0.391","2.071"
"SPOP","109409.20","0.240","0.016","0.231","0.319","0.415","2.863"
"LPUSH (needed to benchmark LRANGE)","109051.26","0.239","0.024","0.231","0.327","0.415","1.703"
"LRANGE_100 (first 100 elements)","75585.79","0.356","0.032","0.327","0.431","0.927","5.351"
"MSET (10 keys)","108459.87","0.265","0.016","0.239","0.391","0.895","7.199"
