"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","877193.00","0.469","0.024","0.303","1.079","3.903","10.007"
"PING_MBULK","990099.00","0.378","0.024","0.287","0.767","1.911","9.583"
"SET","961538.44","0.448","0.024","0.279","1.511","3.007","6.775"
"GET","970873.81","0.357","0.024","0.255","0.839","1.359","10.127"
"INCR","925925.88","0.473","0.024","0.271","1.543","2.879","15.727"
"LPUSH","746268.62","0.654","0.024","0.415","1.679","2.831","5.383"
"RPUSH","662251.69","0.742","0.024","0.951","1.903","3.063","8.247"
"LPOP","806451.62","0.601","0.016","0.383","1.303","2.135","5.135"
"RPOP","813008.12","0.596","0.024","0.815","1.247","2.039","3.239"
"SADD","704225.31","0.700","0.024","0.999","1.607","2.335","6.127"
"HSET","684931.50","0.718","0.024","1.023","1.495","2.223","6.279"
"SPOP","735294.06","0.595","0.024","0.271","1.215","2.071","6.079"
"LPUSH (needed to benchmark LRANGE)","763358.81","0.641","0.024","0.271","1.879","2.927","7.663"
"LRANGE_100 (first 100 elements)","184842.88","1.890","0.120","1.223","5.479","9.447","19.263"
"MSET (10 keys)","236966.83","2.097","0.104","1.735","4.943","6.983","14.239"
