"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","108342.37","0.243","0.016","0.231","0.343","0.463","5.039"
"PING_MBULK","115740.73","0.224","0.048","0.223","0.295","0.367","2.327"
"SET","111358.58","0.234","0.024","0.231","0.311","0.367","2.471"
"GET","112233.45","0.231","0.056","0.223","0.303","0.359","1.543"
"INCR","112612.61","0.231","0.040","0.223","0.295","0.367","2.815"
"LPUSH","110132.16","0.236","0.040","0.231","0.311","0.367","1.919"
"RPUSH","110741.97","0.235","0.024","0.231","0.311","0.383","1.471"
"LPOP","110741.97","0.236","0.016","0.231","0.311","0.383","1.551"
"RPOP","110864.74","0.237","0.016","0.231","0.311","0.391","3.231"
"SADD","108342.37","0.241","0.024","0.231","0.319","0.391","2.639"
"HSET","112233.45","0.232","0.024","0.231","0.303","0.375","1.335"
"SPOP","112612.61","0.234","0.016","0.223","0.303","0.375","3.223"
"LPUSH (needed to benchmark LRANGE)","113122.17","0.231","0.040","0.223","0.295","0.367","2.167"
"LRANGE_100 (first 100 elements)","76687.12","0.354","0.024","0.319","0.463","1.087","9.663"
"MSET (10 keys)","107874.87","0.273","0.016","0.239","0.447","1.015","8.551"
